CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,17600.0,314382.0,743233.0,ABCB4,14262641.27,,2023-05-01,,17.862613636363637,17.862613636363637,17600.0,,19.189999999999998,17.862613636363637
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,60800.0,1210741.0,2800.0,52096.0,1920953.0,ABCB4,35941030.63,,2024-04-28,19.913503289473685,18.605714285714285,18.605714285714285,-58000.0,79513.5714285715,18.71,18.605714285714285
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,1920953.0,ABCB4,42241756.47,,2024-05-28,,,0.0,0.0,,21.99,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2235861.0,ABCB4,55985959.44,,2024-06-28,,,0.0,0.0,,25.04,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,187000.0,3377984.0,712487.0,ABCB4,12931639.05,,2023-05-29,,18.064085561497325,18.064085561497325,187000.0,,18.150000000000002,18.064085561497325
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,53100.0,870662.0,945283.0,ABCB4,15909112.89,,2023-06-29,,16.396647834274955,16.396647834274955,53100.0,,16.830000000000002,16.396647834274955
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,100700.0,1654706.0,1013102.0,ABCB4,16939065.44,,2023-07-29,,16.432035749751737,16.432035749751737,100700.0,,16.720000000000002,16.432035749751737
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,0.0,0.0,120900.0,1974548.0,1111836.0,ABCB4,18500951.04,,2023-08-29,,16.332076095947063,16.332076095947063,120900.0,,16.64,16.332076095947063
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,0.0,0.0,132400.0,2407914.0,1317772.0,ABCB4,25129912.04,,2023-12-27,,18.18666163141994,18.18666163141994,132400.0,,19.07,18.18666163141994
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,0.0,0.0,541500.0,9894735.0,1880453.0,ABCB4,35164471.1,,2024-01-27,,18.272825484764542,18.272825484764542,541500.0,,18.7,18.272825484764542
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,0.0,0.0,127100.0,2349321.0,2007553.0,ABCB4,37280259.21,,2024-02-27,,18.484036191974823,18.484036191974823,127100.0,,18.57,18.484036191974823
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,28600.0,571116.0,0.0,0.0,1978953.0,ABCB4,39400954.23,,2024-03-28,19.96909090909091,,0.0,-28600.0,571116.0,19.909999999999997,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,361700.0,8344007.0,2597561.0,ABCB4,61951829.85,,2024-07-29,,23.068860934476085,23.068860934476085,361700.0,,23.85,23.068860934476085
