CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,748089.0,AGRO3,22293052.2,,2023-05-01,,,0.0,0.0,,29.8,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,252200.0,7269483.0,90200.0,2177648.0,2155206.0,AGRO3,53319796.44,,2024-04-28,28.824278350515463,24.142439024390242,24.142439024390242,-162000.0,1180759.8780487808,24.74,24.142439024390242
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,178200.0,4273696.0,2262493.0,AGRO3,54526081.3,,2024-05-28,,23.982581369248035,23.982581369248035,178200.0,,24.099999999999998,23.982581369248035
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,447300.0,11323206.0,2651142.0,AGRO3,70812002.82,,2024-06-28,,25.31456740442656,25.31456740442656,447300.0,,26.709999999999997,25.31456740442656
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,129500.0,3497959.0,885609.0,AGRO3,22972697.46,,2023-05-29,,27.01126640926641,27.01126640926641,129500.0,,25.94,27.01126640926641
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,239500.0,5942810.0,417675.0,AGRO3,10065967.5,,2023-06-29,,24.813402922755742,24.813402922755742,239500.0,,24.1,24.813402922755742
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,169600.0,3985776.0,520958.0,AGRO3,12586345.28,,2023-07-29,,23.501037735849057,23.501037735849057,169600.0,,24.16,23.501037735849057
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,162200.0,3720684.0,930059.0,AGRO3,21168142.84,,2023-08-29,,22.938865598027128,22.938865598027128,162200.0,,22.76,22.938865598027128
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,12800.0,307860.0,834819.0,AGRO3,20461413.69,,2023-12-27,,24.0515625,24.0515625,12800.0,,24.51,24.0515625
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,414400.0,10576686.0,1645479.0,AGRO3,42634360.89,,2024-01-27,,25.522890926640926,25.522890926640926,414400.0,,25.91,25.522890926640926
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,333200.0,8430778.0,1764714.0,AGRO3,41982546.06,,2024-02-27,,25.302454981992796,25.302454981992796,333200.0,,23.790000000000003,25.302454981992796
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,72700.0,2065137.0,51600.0,1326229.0,2069836.0,AGRO3,59445689.92,,2024-03-28,28.406286107290235,25.702112403100774,25.702112403100774,-21100.0,196593.42829457385,28.720000000000002,25.702112403100774
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,300400.0,7566480.0,3006318.0,AGRO3,74135801.88,,2024-07-29,,25.188015978695073,25.188015978695073,300400.0,,24.66,25.188015978695073
