CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,1934019.0,29341662.95,20132115.0,ALPA4,273998085.15,,2023-05-01,,15.171341620738989,15.171341620738989,1934019.0,,13.61,15.171341620738989
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação preferencial,36418.0,275655.14,0.0,0.0,17376007.0,ALPA4,143352057.75,,2024-04-28,7.569200395408864,,0.0,-36418.0,275655.14,8.25,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação preferencial,1609729.0,15184243.55,0.0,0.0,17617455.0,ALPA4,168599044.35,,2024-05-28,9.432794930078293,,0.0,-1609729.0,15184243.55,9.57,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação preferencial,3200297.0,31519988.1,0.0,0.0,12167582.0,ALPA4,123135929.84,,2024-06-28,9.849082163311719,,0.0,-3200297.0,31519988.100000005,10.120000000000001,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação preferencial,49800.0,495505.02,2842771.0,27870578.57,21719370.0,ALPA4,204813659.1,,2023-05-29,9.9499,9.804018181555954,9.804018181555954,2792971.0,7264.914558513492,9.43,9.804018181555954
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,149477.0,1240744.48,22074102.0,ALPA4,179903931.3,,2023-06-29,,8.300571191554553,8.300571191554553,149477.0,,8.15,8.300571191554553
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,1375954.0,9942911.0,20913093.0,ALPA4,154966019.13,,2023-07-29,,7.226194334985036,7.226194334985036,1375954.0,,7.41,7.226194334985036
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação preferencial,1138719.0,10169570.27,1103161.0,9821739.29,24267349.0,ALPA4,253351123.56,,2023-11-27,8.930710974349246,8.903269142038196,8.903269142038196,-35558.0,31248.535847406438,10.44,8.903269142038196
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação preferencial,367722.0,3498780.14,0.0,0.0,23870246.0,ALPA4,221993287.8,,2023-12-27,9.51474249568968,,0.0,-367722.0,3498780.14,9.3,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação preferencial,1708831.0,16383233.26,271758.0,2565395.52,22753604.0,ALPA4,219117206.52,,2024-01-27,9.58739235184755,9.44,9.44,-1437073.0,251868.620000001,9.63,9.44
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação preferencial,2798921.0,27331847.01,0.0,0.0,19402403.0,ALPA4,163174209.23,,2024-02-27,9.765136997435798,,0.0,-2798921.0,27331847.01,8.41,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,15702450.0,ALPA4,126404722.5,,2024-03-28,,,0.0,0.0,,8.05,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação preferencial,765289.0,7466312.42,186464.0,1677510.06,11032421.0,ALPA4,94658172.18,,2024-07-29,9.75619984084444,8.99642858675133,8.99642858675133,-578825.0,581444.5832736619,8.58,8.99642858675133
