CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,1758.0,30923.76,131423.0,2332230.06,807511.0,ALSO3,14543273.11,,2023-05-01,17.590307167235494,17.745980992672514,17.745980992672514,129665.0,-273.6745851182816,18.009999999999998,17.745980992672514
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,669333.0,11827453.03,1476844.0,ALSO3,25224495.52,,2023-05-29,,17.67050635483384,17.67050635483384,669333.0,,17.08,17.67050635483384
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,6200.0,105126.96,83396.0,1469068.21,1554040.0,ALSO3,27351104.0,,2023-06-29,16.95596129032258,17.615571610149168,17.615571610149168,77196.0,-4089.5839829248407,17.6,17.615571610149168
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,2900.0,51504.0,498242.0,8925320.46,2049382.0,ALSO3,38200480.48,,2023-07-29,17.76,17.913625226295657,17.913625226295657,495342.0,-445.5131562574021,18.639999999999997,17.913625226295657
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,9800.0,184232.0,593307.0,11560982.04,2632889.0,ALSO3,57054704.63,,2023-08-29,18.799183673469386,19.485666004277718,19.485666004277718,583507.0,-6727.52684192165,21.67,19.485666004277718
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,73439.0,1814209.43,0.0,0.0,2639725.0,ALSO3,65069221.25,,2023-12-27,24.70362382385381,,0.0,-73439.0,1814209.43,24.65,
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,63173.0,1590544.08,188022.0,4628364.36,2764574.0,ALSO3,67206793.94,,2024-01-27,25.177592959017304,24.616078756741235,24.616078756741235,124849.0,35472.53670038608,24.31,24.616078756741235
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,484103.0,11393785.76,3248677.0,ALSO3,73972375.29,,2024-02-27,,23.535871002658524,23.535871002658524,484103.0,,22.770000000000003,23.535871002658524
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,568581.0,12812390.57,3817258.0,ALSO3,86231858.22,,2024-03-28,,22.533975933068465,22.533975933068465,568581.0,,22.59,22.533975933068465
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,47200.0,829399.89,52500.0,845699.46,5640814.0,ALSO3,101591060.14,,2023-05-01,17.57203156779661,16.10856114285714,16.10856114285714,5300.0,69075.80405714296,18.01,16.10856114285714
