CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,291741.0,1181002.24,55955.0,214032.88,20233172.0,ANIM3,89430620.24,,2023-05-01,4.0481188451400385,3.8250894468769547,3.8250894468769547,-235786.0,65066.81967867032,4.42,3.8250894468769547
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,284528.0,1130002.56,687400.0,2574171.0,20636044.0,ANIM3,65828980.36,,2023-05-29,3.9714986222797055,3.7447934244981087,3.7447934244981087,402872.0,64503.97651440218,3.19,3.7447934244981087
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,187177.0,641062.22,61917.0,190401.04,20510784.0,ANIM3,51482067.84,,2023-06-29,3.4248984650891936,3.0751011838428868,3.0751011838428868,-125260.0,65474.00571183997,2.5100000000000002,3.0751011838428868
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,118600.0,273351.0,582014.0,1335056.58,20974198.0,ANIM3,48450397.38,,2023-07-29,2.304814502529511,2.2938564708065443,2.2938564708065443,463414.0,1299.6225623438268,2.31,2.2938564708065443
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,95757.0,212071.01,255332.0,706697.24,21133773.0,ANIM3,63189981.27,,2023-08-29,2.2146789268669655,2.7677582128366205,2.7677582128366205,159575.0,-52961.21318659625,2.99,2.7677582128366205
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,231232.0,1029104.87,528493.0,2108883.31,21431034.0,ANIM3,89796032.46,,2023-12-27,4.450529641226128,3.9903713199607185,3.9903713199607185,297261.0,106403.3289428431,4.1899999999999995,3.9903713199607185
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,269246.0,1206411.54,930356.0,3876274.4,22092144.0,ANIM3,106263212.64,,2024-01-27,4.480703668763882,4.166442093134241,4.166442093134241,661110.0,84613.67219197832,4.81,4.166442093134241
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,22092790.0,86121936.94,450646.0,1658377.28,450000.0,ANIM3,1638000.0,,2024-02-27,3.8981919866164483,3.68,3.68,-21642144.0,4820469.739999999,3.64,3.68
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,14400784.0,ANIM3,63651465.28,,2023-05-01,,,0.0,0.0,,4.42,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,10272005.0,ANIM3,26707213.0,,2024-04-28,,,0.0,0.0,,2.6,
