CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,172462.0,12602058.26,1833001.0,ARZZ3,160570887.6,,2023-05-01,,73.07150711461075,73.07150711461075,172462.0,,87.6,73.07150711461075
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2534292.0,ARZZ3,147977309.88,,2024-04-28,,,0.0,0.0,,58.39,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2076650.0,ARZZ3,123228411.0,,2024-05-28,,,0.0,0.0,,59.34,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,11291.0,728608.23,1786009.0,ARZZ3,115251160.77,,2024-06-28,,64.53,64.53,11291.0,,64.53,64.53
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,93111.0,7035698.21,2023639.0,ARZZ3,150963469.4,,2023-05-29,,75.56248144687524,75.56248144687524,93111.0,,74.60000000000001,75.56248144687524
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,232136.0,16344470.17,1768000.0,ARZZ3,112285680.0,,2023-06-29,,70.4090281989868,70.4090281989868,232136.0,,63.51,70.4090281989868
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1367920.0,ARZZ3,90802529.6,,2023-07-29,,,0.0,0.0,,66.38,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,257528.0,18625276.76,1443091.0,ARZZ3,106456823.07,,2023-11-27,,72.32330760150353,72.32330760150353,257528.0,,73.77,72.32330760150353
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,142962.0,10774691.33,2176010.0,ARZZ3,172057110.7,,2023-12-27,,75.36751955064982,75.36751955064982,142962.0,,79.07,75.36751955064982
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,15478.0,1317167.5,0.0,0.0,1305136.0,ARZZ3,107543206.4,,2024-01-27,85.09933453934617,,0.0,-15478.0,1317167.5,82.4,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,225969.0,18607452.06,227687.0,18670334.0,1455528.0,ARZZ3,102862163.76,,2024-02-27,82.34515380428289,82.0,82.0,1718.0,77994.05999999974,70.67,82.0
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1973909.0,ARZZ3,128225128.64,,2024-03-28,,,0.0,0.0,,64.96,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,1144624.0,72320470.48,0.0,0.0,576495.0,ARZZ3,36082822.05,,2024-07-29,63.18273116761487,,0.0,-1144624.0,72320470.48,62.589999999999996,
