CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,234164.0,ASAI3,2561754.16,,2024-04-28,,,0.0,0.0,,10.940000000000001,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,88500.0,1213209.0,0.0,0.0,260600.0,ASAI3,3369558.0,,2024-05-28,13.708576271186441,,0.0,-88500.0,1213209.0,12.93,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,1195300.0,15302033.0,1195300.0,ASAI3,14690237.0,,2023-07-29,,12.801834685852924,12.801834685852924,1195300.0,,12.29,12.801834685852924
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,907200.0,9731584.0,436600.0,4969810.0,385169.0,ASAI3,4140566.75,,2023-08-29,10.72705467372134,11.38298213467705,11.38298213467705,-470600.0,-595057.3925790195,10.75,11.38298213467705
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,381900.0,5047257.0,29200.0,309993.0,371324.0,ASAI3,5105705.0,,2023-12-27,13.216174391201886,10.616198630136987,10.616198630136987,-352700.0,992930.7431506849,13.75,10.616198630136987
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,425700.0,5759725.0,417800.0,5192125.0,364100.0,ASAI3,4904427.0,,2024-01-27,13.530009396288467,12.427297750119674,12.427297750119674,-7900.0,469424.347774055,13.47,12.427297750119674
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,15000.0,213975.0,0.0,0.0,74332.0,ASAI3,862994.52,,2024-02-27,14.265,,0.0,-15000.0,213975.0,11.61,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,281607.0,ASAI3,3424341.12,,2024-03-28,,,0.0,0.0,,12.16,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1026451.0,ASAI3,11229373.94,,2024-04-28,,,0.0,0.0,,10.94,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,3253276.0,39828391.65,0.0,0.0,753468.0,ASAI3,9742341.24,,2024-05-28,12.24254924881873,,0.0,-3253276.0,39828391.65,12.93,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,3262.0,44134.86,423945.0,ASAI3,5735975.85,,2024-06-28,,13.53,13.53,3262.0,,13.53,13.53
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,4086280.0,65380480.0,3678593.0,ASAI3,57165335.22,,2023-06-29,,16.0,16.0,4086280.0,,15.54,16.0
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3693704.0,ASAI3,45395622.16,,2023-07-29,,,0.0,0.0,,12.29,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3664992.0,ASAI3,39398664.0,,2023-11-27,,,0.0,0.0,,10.75,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2790028.0,ASAI3,38362885.0,,2023-12-27,,,0.0,0.0,,13.75,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1479115.0,ASAI3,19923679.05,,2024-01-27,,,0.0,0.0,,13.47,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,985991.0,ASAI3,11447355.51,,2024-02-27,,,0.0,0.0,,11.61,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1902195.0,ASAI3,23130691.2,,2024-03-28,,,0.0,0.0,,12.16,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,246697.0,ASAI3,3369881.02,,2024-07-29,,,0.0,0.0,,13.66,
