CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,41100.0,1493255.71,0.0,0.0,1051699.0,BBAS3,42804149.3,,2023-05-01,36.332255717761555,,0.0,-41100.0,1493255.71,40.699999999999996,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,255300.0,12462546.27,0.0,0.0,615235.0,BBAS3,29746612.25,,2024-04-28,48.81530070505288,,0.0,-255300.0,12462546.27,48.35,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,83000.0,4180466.43,3400.0,168334.0,619575.0,BBAS3,33624335.25,,2024-05-28,50.367065421686746,49.51,49.51,-79600.0,71136.4300000001,54.27,49.51
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,24200.0,1309171.6,0.0,0.0,595375.0,BBAS3,32977821.25,,2024-06-28,54.098000000000006,,0.0,-24200.0,1309171.6,55.39,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,109100.0,4457381.99,0.0,0.0,942599.0,BBAS3,37986739.7,,2023-05-29,40.85593024747938,,0.0,-109100.0,4457381.99,40.300000000000004,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,42400.0,1622875.46,0.0,0.0,954249.0,BBAS3,37320678.39,,2023-06-29,38.27536462264151,,0.0,-42400.0,1622875.4600000002,39.11,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,193500.0,8270834.26,0.0,0.0,1081552.0,BBAS3,46355318.72,,2023-10-27,42.743329509043924,,0.0,-193500.0,8270834.26,42.86,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,74900.0,3232637.22,500.0,21580.0,582792.0,BBAS3,26004179.04,,2023-11-27,43.15937543391188,43.16,43.16,-74400.0,-46.77999999969771,44.62,43.16
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,40800.0,1976290.64,0.0,0.0,995352.0,BBAS3,49170388.8,,2023-12-27,48.43849607843137,,0.0,-40800.0,1976290.64,49.4,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,100.0,4785.29,843913.0,BBAS3,40668167.47,,2024-01-27,,47.8529,47.8529,100.0,,48.19,47.8529
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,72200.0,3463831.24,11700.0,551804.5,872207.0,BBAS3,41080949.7,,2024-02-27,47.97550193905818,47.16277777777778,47.16277777777778,-60500.0,58678.68444444487,47.1,47.16277777777778
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,124600.0,5901226.98,100.0,4697.41,954475.0,BBAS3,45032130.5,,2024-03-28,47.36137223113965,46.9741,46.9741,-124500.0,48254.120000000046,47.18,46.9741
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,39700.0,2226652.9,3100.0,174451.89,558775.0,BBAS3,31542848.75,,2024-07-29,56.086974811083124,56.27480322580646,56.27480322580646,-36600.0,-7456.788064516378,56.45,56.27480322580646
