CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação preferencial,29800.0,431206.0,0.0,0.0,2003215.0,BBDC4,28024977.85,,2024-04-28,14.47,,0.0,-29800.0,431206.0,13.99,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2003215.0,BBDC4,32592308.05,,2024-05-28,,,0.0,0.0,,16.27,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2003215.0,BBDC4,34234944.35,,2024-06-28,,,0.0,0.0,,17.09,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação preferencial,0.0,0.0,21900.0,271706.53,21900.0,BBDC4,288423.0,,2023-06-29,,12.40669086757991,12.40669086757991,21900.0,,13.17,12.40669086757991
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação preferencial,79600.0,1075395.25,1599700.0,21474475.2,1542000.0,BBDC4,21356700.0,,2023-10-27,13.509990577889447,13.42406401200225,13.42406401200225,1520100.0,6839.754644620903,13.85,13.42406401200225
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação preferencial,984200.0,15752010.52,1000.0,15580.0,558800.0,BBDC4,8666988.0,,2023-11-27,16.00488774639301,15.58,15.58,-983200.0,418174.5200000001,15.51,15.58
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação preferencial,50800.0,852240.84,1500.0,24050.55,509500.0,BBDC4,8381275.0,,2023-12-27,16.776394488188977,16.0337,16.0337,-49300.0,37728.880000000056,16.45,16.0337
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação preferencial,0.0,0.0,29000.0,476807.28,538500.0,BBDC4,8971410.0,,2024-01-27,,16.441630344827587,16.441630344827587,29000.0,,16.66,16.441630344827587
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação preferencial,0.0,0.0,1505900.0,23259054.61,2044400.0,BBDC4,30563780.0,,2024-02-27,,15.445284952520087,15.445284952520087,1505900.0,,14.95,15.445284952520087
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2033015.0,BBDC4,29072114.5,,2024-03-28,,,0.0,0.0,,14.3,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação preferencial,0.0,0.0,1495600.0,23948057.84,3498815.0,BBDC4,53706810.25,,2024-07-29,,16.012341428189355,16.012341428189355,1495600.0,,15.35,16.012341428189355
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação preferencial,1293137.0,19927002.27,2663082.0,41437555.92,1369945.0,BBDC4,21028655.75,,2024-07-29,15.409815255460172,15.56,15.56,1369945.0,-194209.44999999998,15.35,15.56
