CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,896700.0,BLAU3,26085003.0,,2023-05-01,,,0.0,0.0,,29.09,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,16200.0,248689.0,0.0,0.0,881500.0,BLAU3,13398800.0,,2024-04-28,15.351172839506173,,0.0,-16200.0,248689.0,15.2,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,169400.0,2699846.0,0.0,0.0,712100.0,BLAU3,11158607.0,,2024-05-28,15.937697756788666,,0.0,-169400.0,2699846.0,15.67,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,553700.0,8770999.0,0.0,0.0,158400.0,BLAU3,2599344.0,,2024-06-28,15.840706158569622,,0.0,-553700.0,8770999.0,16.41,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,897700.0,BLAU3,25584450.0,,2023-05-29,,,0.0,0.0,,28.5,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,897700.0,BLAU3,21634570.0,,2023-06-29,,,0.0,0.0,,24.1,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,897700.0,BLAU3,17846276.0,,2023-07-29,,,0.0,0.0,,19.88,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,897700.0,BLAU3,18223310.0,,2023-08-29,,,0.0,0.0,,20.3,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,897700.0,BLAU3,16706197.0,,2023-12-27,,,0.0,0.0,,18.61,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,897700.0,BLAU3,18654206.0,,2024-01-27,,,0.0,0.0,,20.78,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,897700.0,BLAU3,15862359.0,,2024-02-27,,,0.0,0.0,,17.67,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,897700.0,BLAU3,14363200.0,,2024-03-28,,,0.0,0.0,,16.0,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,157965.0,BLAU3,1927173.0,,2024-07-29,,,0.0,0.0,,12.2,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,5400.0,89316.0,511300.0,8162472.28,388826.0,BLAU3,5910155.2,,2024-04-28,16.54,15.964154664580482,15.964154664580482,505900.0,3109.564811265393,15.200000000000001,15.964154664580482
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,351900.0,5497048.14,349940.0,BLAU3,5599040.0,,2024-03-28,,15.621051832907074,15.621051832907074,351900.0,,16.0,15.621051832907074
