CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,80400.0,1173330.89,0.0,0.0,3438544.0,BMOB3,55016704.0,,2023-05-01,14.59366778606965,,0.0,-80400.0,1173330.89,16.0,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,65400.0,774095.0,249800.0,2915533.55,3791380.0,BMOB3,45686129.0,,2024-04-28,11.83631498470948,11.67147137710168,11.67147137710168,184400.0,10780.771937550115,12.05,11.67147137710168
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,79300.0,1028730.48,20800.0,263872.83,3700320.0,BMOB3,47327092.8,,2024-05-28,12.972641614123582,12.686193750000001,12.686193750000001,-58500.0,22715.31562499994,12.79,12.686193750000001
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,42300.0,561632.73,68900.0,908582.96,3964443.0,BMOB3,55502202.0,,2024-06-28,13.2773695035461,13.186980551523947,13.186980551523947,26600.0,3823.452670537054,14.0,13.186980551523947
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,89700.0,1331221.08,8700.0,123676.78,3400007.0,BMOB3,48110099.05,,2023-05-29,14.840814715719064,14.21572183908046,14.21572183908046,-81000.0,56070.83103448277,14.149999999999999,14.21572183908046
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,27600.0,380247.6,9500.0,130954.89,3397105.0,BMOB3,46778135.85,,2023-06-29,13.777086956521739,13.784725263157895,13.784725263157895,-18100.0,-210.8172631579194,13.77,13.784725263157895
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,38900.0,535297.89,5100.0,70346.0,3275153.0,BMOB3,44771341.51,,2023-10-27,13.760871208226222,13.793333333333333,13.793333333333333,-33800.0,-1262.776666666622,13.67,13.793333333333333
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,43300.0,599772.39,1400.0,18620.0,3275944.0,BMOB3,46420126.48,,2023-11-27,13.851556351039262,13.3,13.3,-41900.0,23882.390000000018,14.169999999999998,13.3
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,76500.0,1089938.6,3344919.0,BMOB3,47464400.61,,2023-12-27,,14.247563398692812,14.247563398692812,76500.0,,14.19,14.247563398692812
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,47600.0,640848.59,3406436.0,BMOB3,45986886.0,,2024-01-27,,13.463205672268908,13.463205672268908,47600.0,,13.5,13.463205672268908
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,258400.0,3263772.24,3396652.0,BMOB3,39842727.96,,2024-02-27,,12.630697523219816,12.630697523219816,258400.0,,11.73,12.630697523219816
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,117100.0,1399799.75,3926611.0,BMOB3,46569606.46,,2024-03-28,,11.953883432963279,11.953883432963279,117100.0,,11.86,11.953883432963279
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,6600.0,88337.04,188500.0,2407788.68,4051926.0,BMOB3,49555054.98,,2024-07-29,13.3844,12.77341474801061,12.77341474801061,181900.0,4032.502663129966,12.229999999999999,12.77341474801061
