CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,476292.0,BPAC5,2481481.32,,2023-05-01,,,0.0,0.0,,5.21,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,4200.0,33769.0,0.0,0.0,456592.0,BPAC5,3670999.68,,2024-04-28,8.040238095238095,,0.0,-4200.0,33769.0,8.040000000000001,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,93200.0,807052.0,0.0,0.0,363392.0,BPAC5,3332304.64,,2024-05-28,8.659356223175966,,0.0,-93200.0,807052.0,9.17,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,28200.0,261460.0,0.0,0.0,335192.0,BPAC5,3288233.52,,2024-06-28,9.271631205673758,,0.0,-28200.0,261459.99999999997,9.81,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,0.0,0.0,476292.0,BPAC5,2448140.88,,2023-05-29,,,0.0,0.0,,5.14,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,476292.0,BPAC5,2348119.56,,2023-06-29,,,0.0,0.0,,4.93,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,476292.0,BPAC5,2819648.64,,2023-07-29,,,0.0,0.0,,5.92,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,476292.0,BPAC5,3086372.16,,2023-08-29,,,0.0,0.0,,6.48,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,476292.0,BPAC5,3848439.36,,2023-12-27,,,0.0,0.0,,8.08,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,476292.0,BPAC5,4172317.92,,2024-01-27,,,0.0,0.0,,8.76,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,5500.0,48181.0,0.0,0.0,470792.0,BPAC5,4110014.16,,2024-02-27,8.760181818181819,,0.0,-5500.0,48181.0,8.73,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,10000.0,83127.0,0.0,0.0,460792.0,BPAC5,3695551.84,,2024-03-28,8.3127,,0.0,-10000.0,83127.0,8.02,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação preferencial,50600.0,499218.0,0.0,0.0,284592.0,BPAC5,2641013.76,,2024-07-29,9.86596837944664,,0.0,-50600.0,499218.0,9.28,
