CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,123200.0,1161028.0,2393700.0,BRSR6,23984874.0,,2023-05-01,,9.423928571428572,9.423928571428572,123200.0,,10.02,9.423928571428572
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,0.0,0.0,901800.0,10163022.0,2392802.0,BRSR6,26081541.8,,2024-04-28,,11.269707252162341,11.269707252162341,901800.0,,10.9,11.269707252162341
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,0.0,0.0,102800.0,1158283.0,2691544.0,BRSR6,32540766.96,,2024-05-28,,11.267344357976654,11.267344357976654,102800.0,,12.09,11.267344357976654
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,1143300.0,14029713.0,0.0,0.0,1496734.0,BRSR6,19981398.9,,2024-06-28,12.271243768039884,,0.0,-1143300.0,14029713.0,13.35,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,900.0,8568.0,2394600.0,BRSR6,23922054.0,,2023-05-29,,9.52,9.52,900.0,,9.99,9.52
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,1713450.0,BRSR6,17134500.0,,2023-06-29,,,0.0,0.0,,10.0,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,2190520.0,BRSR6,23307132.8,,2023-07-29,,,0.0,0.0,,10.64,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,473300.0,5632855.0,0.0,0.0,1263714.0,BRSR6,15720602.16,,2023-08-29,11.90123600253539,,0.0,-473300.0,5632855.0,12.44,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,596300.0,8323811.0,0.0,0.0,1253086.0,BRSR6,18796290.0,,2023-12-27,13.959099446587288,,0.0,-596300.0,8323811.0,15.0,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,1256842.0,BRSR6,18337324.78,,2024-01-27,,,0.0,0.0,,14.590000000000002,
