CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,6666550.0,81161315.96,30137947.0,CCRO3,361052605.06,,2024-04-28,,12.174410446182808,12.174410446182808,6666550.0,,11.98,12.174410446182808
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,30411194.0,CCRO3,411767566.76,,2024-05-28,,,0.0,0.0,,13.54,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,2165458.0,28994610.44,32576652.0,CCRO3,461936925.36,,2024-06-28,,13.389597230701312,13.389597230701312,2165458.0,,14.18,13.389597230701312
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,3152785.0,34518156.07,3152785.0,CCRO3,34649107.15,,2023-05-29,,10.948464950829187,10.948464950829187,3152785.0,,10.99,10.948464950829187
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,5023765.0,59229403.11,5419260.0,CCRO3,69366528.0,,2023-06-29,,11.789843495864158,11.789843495864158,5023765.0,,12.8,11.789843495864158
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,398747.0,4971313.16,5103555.0,CCRO3,69255241.35,,2023-07-29,,12.467336832628208,12.467336832628208,398747.0,,13.569999999999999,12.467336832628208
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5480576.0,CCRO3,74371416.32,,2023-11-27,,,0.0,0.0,,13.569999999999999,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,3118368.0,44034578.81,8560382.0,CCRO3,120273367.1,,2023-12-27,,14.121033441210274,14.121033441210274,3118368.0,,14.049999999999999,14.121033441210274
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,861978.0,11649818.26,10094658.0,CCRO3,134158004.82,,2024-01-27,,13.515215307119208,13.515215307119208,861978.0,,13.29,13.515215307119208
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,9879945.0,128087651.92,20717301.0,CCRO3,258137570.46,,2024-02-27,,12.964409409161691,12.964409409161691,9879945.0,,12.46,12.964409409161691
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,1202239.0,15244390.52,2610047.0,32761005.7,22298919.0,CCRO3,287433065.91,,2024-03-28,12.68,12.551883433516714,12.551883433516714,1407808.0,154026.73277229868,12.89,12.551883433516714
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,32659452.0,CCRO3,428492010.24,,2024-07-29,,,0.0,0.0,,13.120000000000001,
