CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,141400.0,CLSC4,7431984.0,,2023-05-01,,,0.0,0.0,,52.56,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,6600.0,417449.0,0.0,0.0,18000.0,CLSC4,1120860.0,,2024-04-28,63.249848484848485,,0.0,-6600.0,417449.0,62.27,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,0.0,0.0,141400.0,CLSC4,7084140.0,,2023-05-29,,,0.0,0.0,,50.1,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,400.0,20001.0,0.0,0.0,141000.0,CLSC4,7092300.0,,2023-06-29,50.0025,,0.0,-400.0,20001.0,50.3,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,45100.0,2259511.0,0.0,0.0,95900.0,CLSC4,4798836.0,,2023-07-29,50.100022172949004,,0.0,-45100.0,2259511.0,50.04,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,59800.0,3066268.0,0.0,0.0,36100.0,CLSC4,1920881.0,,2023-08-29,51.27538461538462,,0.0,-59800.0,3066268.0,53.21,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,36100.0,CLSC4,2129900.0,,2023-12-27,,,0.0,0.0,,59.0,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,36100.0,CLSC4,2197046.0,,2024-01-27,,,0.0,0.0,,60.86,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,4000.0,245080.0,0.0,0.0,32100.0,CLSC4,2070129.0,,2024-02-27,61.27,,0.0,-4000.0,245080.0,64.49,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,7500.0,483490.0,0.0,0.0,24600.0,CLSC4,1619910.0,,2024-03-28,64.46533333333333,,0.0,-7500.0,483490.0,65.85,
