CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,28552.0,441852.0,28552.0,CSAN3,449694.0,,2024-04-28,,15.47534323339871,15.47534323339871,28552.0,,15.75,15.47534323339871
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,29217.0,521302.54,8795.0,152898.15,8130.0,CSAN3,144307.5,,2024-05-28,17.842438990998392,17.384667424673108,17.384667424673108,-20422.0,13374.71185332584,17.75,17.384667424673108
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,10778.0,196454.45,10778.0,CSAN3,196914.06,,2024-07-29,,18.227356652440157,18.227356652440157,10778.0,,18.27,18.227356652440157
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,512746.0,8345135.31,264246.0,4279781.06,42595011.0,CSAN3,711336683.7,,2023-05-01,16.275378667020316,16.196199980321367,16.196199980321367,-248500.0,40598.554890139305,16.700000000000003,16.196199980321367
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,34758534.0,CSAN3,547446910.5,,2024-04-28,,,0.0,0.0,,15.75,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,11138120.0,193638070.87,0.0,0.0,23620414.0,CSAN3,419262348.5,,2024-05-28,17.385166515534042,,0.0,-11138120.0,193638070.87000003,17.75,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,1193465.0,22390047.16,213300.0,4129488.0,22640249.0,CSAN3,438315220.64,,2024-06-28,18.760539404171887,19.36,19.36,-980165.0,-715435.2399999986,19.36,19.36
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,1827237.0,29908980.81,44422248.0,CSAN3,665445275.04,,2023-05-29,,16.368418989983237,16.368418989983237,1827237.0,,14.979999999999999,16.368418989983237
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,492460.0,7555812.28,0.0,0.0,43929788.0,CSAN3,662900500.92,,2023-06-29,15.342996954067337,,0.0,-492460.0,7555812.28,15.09,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,2414422.0,37894238.63,150090.0,2351910.3,41665456.0,CSAN3,624148530.88,,2023-07-29,15.694952510373085,15.669999999999998,15.669999999999998,-2264332.0,60245.8900000089,14.98,15.669999999999998
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,2577752.0,39037811.37,0.0,0.0,39087704.0,CSAN3,586315560.0,,2023-11-27,15.144129990006796,,0.0,-2577752.0,39037811.37,15.0,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,460669.0,8296190.43,0.0,0.0,38627035.0,CSAN3,689878845.1,,2023-12-27,18.009005229351224,,0.0,-460669.0,8296190.429999999,17.86,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,1379206.0,26026762.9,0.0,0.0,37247829.0,CSAN3,742721710.26,,2024-01-27,18.870830680841003,,0.0,-1379206.0,26026762.899999995,19.94,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,2489295.0,46010070.98,0.0,0.0,34758534.0,CSAN3,608969515.68,,2024-02-27,18.483173340242917,,0.0,-2489295.0,46010070.97999999,17.52,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,34758534.0,CSAN3,595761272.76,,2024-03-28,,,0.0,0.0,,17.14,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,1487673.0,28706968.97,8390600.0,142640200.0,29543176.0,CSAN3,539753825.52,,2024-07-29,19.296558430515308,17.0,17.0,6902927.0,3416527.9699999997,18.27,17.0
