CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,0.0,0.0,118900.0,1330093.0,2617510.0,CSUD3,29237586.7,,2023-05-01,,11.186652649285113,11.186652649285113,118900.0,,11.17,11.186652649285113
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,96100.0,1475344.67,5700.0,86556.76,2616739.0,CSUD3,41867824.0,,2024-04-28,15.35218178980229,15.185396491228069,15.185396491228069,-90400.0,16028.067192982582,16.0,15.185396491228069
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,83400.0,1547089.72,3000.0,55697.1,2558747.0,CSUD3,48334730.83,,2024-05-28,18.55023645083933,18.5657,18.5657,-80400.0,-1289.659999999975,18.89,18.5657
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,89500.0,1691650.21,7700.0,140474.09,2476847.0,CSUD3,48471895.79,,2024-06-28,18.90111966480447,18.24338831168831,18.24338831168831,-81800.0,58866.9561038962,19.57,18.24338831168831
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,0.0,0.0,6300.0,66987.92,2660315.0,CSUD3,27826894.9,,2023-05-29,,10.633003174603175,10.633003174603175,6300.0,,10.459999999999999,10.633003174603175
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,0.0,0.0,190800.0,1828381.08,2829830.0,CSUD3,27392754.4,,2023-06-29,,9.582710062893081,9.582710062893081,190800.0,,9.68,9.582710062893081
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,0.0,0.0,4600.0,48189.0,2864130.0,CSUD3,32937495.0,,2023-10-27,,10.47586956521739,10.47586956521739,4600.0,,11.5,10.47586956521739
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,1800.0,21510.0,12400.0,159721.64,2858107.0,CSUD3,37641269.19,,2023-11-27,11.95,12.880777419354839,12.880777419354839,10600.0,-1675.3993548387116,13.17,12.880777419354839
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,70200.0,920463.88,2956164.0,CSUD3,38873556.6,,2023-12-27,,13.112021082621082,13.112021082621082,70200.0,,13.15,13.112021082621082
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,30500.0,442608.71,1400.0,18090.03,2931030.0,CSUD3,46515446.1,,2024-01-27,14.511760983606559,12.921449999999998,12.921449999999998,-29100.0,48504.48500000009,15.870000000000001,12.921449999999998
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,164600.0,2475455.87,3500.0,50931.64,2772830.0,CSUD3,45668510.1,,2024-02-27,15.03922156743621,14.551897142857143,14.551897142857143,-161100.0,80213.6002857143,16.47,14.551897142857143
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,60700.0,1002504.39,12600.0,202267.94,2759547.0,CSUD3,43131719.61,,2024-03-28,16.515723064250412,16.05301111111111,16.05301111111111,-48100.0,28086.615555555592,15.629999999999999,16.05301111111111
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,160400.0,3059980.47,12000.0,226561.86,2328547.0,CSUD3,43287688.73,,2024-07-29,19.077184975062345,18.880155,18.880155,-148400.0,31603.608000000313,18.59,18.880155
