CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,18300.0,199168.0,0.0,0.0,1052000.0,CXSE3,11382640.0,,2024-04-28,10.883497267759562,,0.0,-18300.0,199168.0,10.82,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,14700.0,160414.0,0.0,0.0,1037000.0,CXSE3,11852910.0,,2024-05-28,10.912517006802721,,0.0,-14700.0,160414.0,11.43,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,90000.0,1043918.0,1123500.0,CXSE3,14493150.0,,2024-06-28,,11.59908888888889,11.59908888888889,90000.0,,12.9,11.59908888888889
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,200200.0,1987185.0,200200.0,CXSE3,1893892.0,,2023-07-29,,9.925999000999001,9.925999000999001,200200.0,,9.46,9.925999000999001
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,495100.0,4886782.0,695300.0,CXSE3,7119872.0,,2023-08-29,,9.870292870127248,9.870292870127248,495100.0,,10.24,9.870292870127248
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,67600.0,692327.0,762900.0,CXSE3,7857870.0,,2023-12-27,,10.241523668639053,10.241523668639053,67600.0,,10.3,10.241523668639053
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,212500.0,2209426.0,975400.0,CXSE3,10524566.0,,2024-01-27,,10.397298823529411,10.397298823529411,212500.0,,10.79,10.397298823529411
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,94900.0,999877.0,1070300.0,CXSE3,11559240.0,,2024-02-27,,10.536111696522655,10.536111696522655,94900.0,,10.8,10.536111696522655
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1070300.0,CXSE3,11944548.0,,2024-03-28,,,0.0,0.0,,11.16,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,970776.0,CXSE3,13717064.88,,2024-07-29,,,0.0,0.0,,14.13,
