CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,412755.0,5675381.25,412754.0,5708350.24,10520753.0,CYRE3,159705030.54,,2023-05-01,13.75,13.829908953032557,13.829908953032557,-1.0,-32982.819908953235,15.18,13.829908953032557
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2191573.0,CYRE3,39426398.27,,2024-04-28,,,0.0,0.0,,17.990000000000002,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2251100.0,CYRE3,49164024.0,,2024-05-28,,,0.0,0.0,,21.84,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,1251500.0,20224240.0,0.0,0.0,841059.0,CYRE3,20252700.72,,2024-06-28,16.16,,0.0,-1251500.0,20224240.0,24.08,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,3105271.0,47190983.51,0.0,0.0,9966310.0,CYRE3,149295323.8,,2023-05-29,15.197058005565376,,0.0,-3105271.0,47190983.51,14.98,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,2489911.0,38682525.59,0.0,0.0,6988463.0,CYRE3,98397559.04,,2023-06-29,15.535706131664949,,0.0,-2489911.0,38682525.59,14.08,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,1784309.0,26630491.97,1402811.0,20885930.25,8300972.0,CYRE3,128250017.4,,2023-07-29,14.924820740129652,14.888627370330001,14.888627370330001,-381498.0,64580.155473845945,15.450000000000001,14.888627370330001
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,1319028.0,22566959.16,0.0,0.0,7301466.0,CYRE3,136391384.88,,2023-11-27,17.108779464878683,,0.0,-1319028.0,22566959.16,18.68,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,5166861.0,101549109.0,0.0,0.0,1084622.0,CYRE3,21833440.86,,2023-12-27,19.653927016809625,,0.0,-5166861.0,101549109.0,20.13,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,1029812.0,22265533.18,0.0,0.0,1262199.0,CYRE3,30065580.18,,2024-01-27,21.62096885645147,,0.0,-1029812.0,22265533.18,23.82,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1340280.0,CYRE3,30075883.2,,2024-02-27,,,0.0,0.0,,22.439999999999998,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2146008.0,CYRE3,43499582.16,,2024-03-28,,,0.0,0.0,,20.27,
