CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3766429.0,DASA3,41317726.13,,2023-05-01,,,0.0,0.0,,10.97,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,103093.0,1262222.83,0.0,0.0,3890098.0,DASA3,37695049.62,,2024-04-28,12.243535739574948,,0.0,-103093.0,1262222.83,9.69,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,57073.0,605574.21,0.0,0.0,3731789.0,DASA3,34295140.91,,2024-05-28,10.610520035743695,,0.0,-57073.0,605574.21,9.19,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,10700.0,102934.0,3701667.0,DASA3,35610036.54,,2024-06-28,,9.62,9.62,10700.0,,9.62,9.62
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4125974.0,DASA3,38123999.76,,2023-05-29,,,0.0,0.0,,9.24,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4392306.0,DASA3,32810525.82,,2023-06-29,,,0.0,0.0,,7.47,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5802356.0,DASA3,49029908.2,,2023-07-29,,,0.0,0.0,,8.450000000000001,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,908818.0,8390242.75,0.0,0.0,4884654.0,DASA3,52558877.04,,2023-11-27,9.232038482952582,,0.0,-908818.0,8390242.75,10.76,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,63871.0,724651.13,0.0,0.0,4824380.0,DASA3,57072415.4,,2023-12-27,11.345542264877643,,0.0,-63871.0,724651.13,11.83,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4748202.0,DASA3,63863316.9,,2024-01-27,,,0.0,0.0,,13.45,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,335895.0,4434436.51,0.0,0.0,3722280.0,DASA3,41019525.6,,2024-02-27,13.201853287485672,,0.0,-335895.0,4434436.51,11.02,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,49096.0,621483.84,0.0,0.0,3970345.0,DASA3,49113167.65,,2024-03-28,12.658543262180217,,0.0,-49096.0,621483.84,12.37,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3428078.0,DASA3,27596027.9,,2024-07-29,,,0.0,0.0,,8.049999999999999,
