CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,5608.0,39569.22,1373.0,9544.28,374064.0,DXCO3,2820442.56,,2023-05-01,7.055852353780314,6.951405680990532,6.951405680990532,-4235.0,585.7369410050995,7.54,6.951405680990532
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,5483.0,38477.61,12700.0,85364.0,381281.0,DXCO3,2485952.12,,2023-05-29,7.017619916104323,6.721574803149606,6.721574803149606,7217.0,1623.2153543307134,6.5200000000000005,6.721574803149606
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,3800.0,24135.0,300.0,1750.0,377781.0,DXCO3,2221352.28,,2023-06-29,6.351315789473684,5.833333333333333,5.833333333333333,-3500.0,1968.3333333333346,5.88,5.833333333333333
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,2700.0,15674.0,9100.0,52671.0,384181.0,DXCO3,2262826.09,,2023-07-29,5.805185185185185,5.788021978021978,5.788021978021978,6400.0,46.340659340660295,5.89,5.788021978021978
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,304524.0,2330110.94,304524.0,DXCO3,2357015.76,,2024-07-29,,7.651649590836847,7.651649590836847,304524.0,,7.739999999999999,7.651649590836847
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,720800.0,5033071.0,1594819.0,DXCO3,10940458.34,,2024-04-28,,6.982617924528302,6.982617924528302,720800.0,,6.86,6.982617924528302
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1058248.0,DXCO3,7682880.48,,2024-05-28,,,0.0,0.0,,7.260000000000001,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,406600.0,3290961.0,0.0,0.0,1366908.0,DXCO3,11030947.56,,2024-06-28,8.093853910477128,,0.0,-406600.0,3290961.0,8.07,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,1589100.0,13749130.0,1537052.0,DXCO3,12234933.92,,2024-02-27,,8.652149015165817,8.652149015165817,1589100.0,,7.96,8.652149015165817
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,240900.0,1847976.0,1055043.0,DXCO3,8123831.1,,2024-03-28,,7.671133250311333,7.671133250311333,240900.0,,7.699999999999999,7.671133250311333
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,461000.0,3469368.0,2102206.0,DXCO3,16271074.44,,2024-07-29,,7.5257440347071585,7.5257440347071585,461000.0,,7.739999999999999,7.5257440347071585
