CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,1682312.0,19496628.95,2361134.0,27205948.56,82382702.0,ENEV3,988592424.0,,2023-05-01,11.589187350503355,11.522407690541916,11.522407690541916,678822.0,112344.22330904796,12.0,11.522407690541916
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,87974777.0,ENEV3,951887087.14,,2024-04-28,,,0.0,0.0,,10.82,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,1826116.0,23213164.13,0.0,0.0,86148661.0,ENEV3,1093226508.09,,2024-05-28,12.711768655441384,,0.0,-1826116.0,23213164.13,12.69,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,338300.0,4604263.0,85940968.0,ENEV3,1169656574.48,,2024-06-28,,13.61,13.61,338300.0,,13.61,13.61
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,1106317.0,12902698.5,1116496.0,13015034.03,82392881.0,ENEV3,941750629.83,,2023-05-29,11.66274991706717,11.65703596788524,11.65703596788524,10179.0,6321.4391171047855,11.43,11.65703596788524
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,2853663.0,29107421.56,85246544.0,ENEV3,892531315.68,,2023-06-29,,10.200020661164265,10.200020661164265,2853663.0,,10.469999999999999,10.200020661164265
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,85246544.0,ENEV3,967548274.4,,2023-07-29,,,0.0,0.0,,11.35,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,121622.0,1398122.11,85368166.0,ENEV3,977465500.7,,2023-11-27,,11.4956349180247,11.4956349180247,121622.0,,11.450000000000001,11.4956349180247
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,1469915.0,17279107.45,86838081.0,ENEV3,1065503253.87,,2023-12-27,,11.755174584924978,11.755174584924978,1469915.0,,12.27,11.755174584924978
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,86838081.0,ENEV3,1161025142.97,,2024-01-27,,,0.0,0.0,,13.370000000000001,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,1136696.0,13549416.32,87974777.0,ENEV3,1048659341.84,,2024-02-27,,11.92,11.92,1136696.0,,11.92,11.92
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,87974777.0,ENEV3,1060975810.62,,2024-03-28,,,0.0,0.0,,12.06,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,84389366.0,ENEV3,1076808310.16,,2024-07-29,,,0.0,0.0,,12.760000000000002,
