CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,18300.0,479277.0,503555.0,13551016.01,3634087.0,EQTL3,101827117.74,,2023-05-01,26.19,26.910696964581824,26.910696964581824,485255.0,-13188.754451847355,28.02,26.910696964581824
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,1145833.0,35961588.05,0.0,0.0,2213053.0,EQTL3,69932474.8,,2024-04-28,31.384667791903354,,0.0,-1145833.0,35961588.05,31.599999999999998,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,1047057.0,35827200.8,0.0,0.0,1165996.0,EQTL3,39713823.76,,2024-05-28,34.217049119579926,,0.0,-1047057.0,35827200.8,34.059999999999995,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,2643495.0,70116744.05,6277582.0,EQTL3,159638910.26,,2023-05-29,,26.52425824523973,26.52425824523973,2643495.0,,25.43,26.52425824523973
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,6277582.0,EQTL3,169243610.72,,2023-06-29,,,0.0,0.0,,26.96,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,2303390.0,64633171.78,0.0,0.0,3974192.0,EQTL3,108654409.28,,2023-07-29,28.060021003824797,,0.0,-2303390.0,64633171.78,27.34,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,107260.0,3099289.99,2017.0,53965.03,3868949.0,EQTL3,108910914.35,,2023-11-27,28.895114581391013,26.755096678235002,26.755096678235002,-105243.0,229538.3202925137,28.15,26.755096678235002
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,10288.0,315671.21,165823.0,5175803.93,4024484.0,EQTL3,129387160.6,,2023-12-27,30.683437986003113,31.212822889466477,31.212822889466477,155535.0,-5446.311886831079,32.15,31.212822889466477
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,4890.0,161264.56,713556.0,23492562.88,4921529.0,EQTL3,165068082.66,,2024-01-27,32.97843762781186,32.92322239599975,32.92322239599975,708666.0,270.0024835611982,33.54,32.92322239599975
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,1562643.0,49887413.89,0.0,0.0,3358886.0,EQTL3,106342330.76,,2024-02-27,31.925023111484837,,0.0,-1562643.0,49887413.89,31.66,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,3358886.0,EQTL3,107685885.16,,2024-03-28,,,0.0,0.0,,32.06,
