CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,65700.0,753760.0,600.0,4278.0,1015200.0,EUCA4,10811880.0,,2023-05-01,11.47275494672755,7.13,7.13,-65100.0,285319.00000000006,10.65,7.13
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,0.0,0.0,17100.0,211359.0,1025100.0,EUCA4,12608730.0,,2024-04-28,,12.36017543859649,12.36017543859649,17100.0,,12.3,12.36017543859649
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,75300.0,1148195.0,0.0,0.0,982702.0,EUCA4,15664269.88,,2024-05-28,15.248273572377158,,0.0,-75300.0,1148195.0,15.940000000000001,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,95800.0,1525415.0,0.0,0.0,886902.0,EUCA4,14092872.78,,2024-06-28,15.922912317327766,,0.0,-95800.0,1525415.0,15.889999999999999,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,28500.0,305839.0,0.0,0.0,981700.0,EUCA4,9817000.0,,2023-05-29,10.73119298245614,,0.0,-28500.0,305839.0,10.0,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,983700.0,EUCA4,9345150.0,,2023-06-29,,,0.0,0.0,,9.5,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,40500.0,351992.0,1027200.0,EUCA4,8885280.0,,2023-07-29,,8.69116049382716,8.69116049382716,40500.0,,8.65,8.69116049382716
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,300.0,3378.0,4100.0,35640.0,1030669.0,EUCA4,10564357.25,,2023-08-29,11.26,8.692682926829269,8.692682926829269,3800.0,770.1951219512192,10.25,8.692682926829269
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,11700.0,134812.0,0.0,0.0,1019300.0,EUCA4,11467125.0,,2023-12-27,11.522393162393163,,0.0,-11700.0,134812.0,11.25,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,48400.0,581016.0,0.0,0.0,965800.0,EUCA4,12545742.0,,2024-01-27,12.004462809917355,,0.0,-48400.0,581016.0,12.99,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,965900.0,EUCA4,11977160.0,,2024-02-27,,,0.0,0.0,,12.4,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,0.0,0.0,37100.0,458847.0,1008000.0,EUCA4,12600000.0,,2024-03-28,,12.367843665768195,12.367843665768195,37100.0,,12.5,12.367843665768195
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação preferencial,162100.0,2769751.0,0.0,0.0,724802.0,EUCA4,11741792.4,,2024-07-29,17.08668106107341,,0.0,-162100.0,2769750.9999999995,16.2,
