CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,176400.0,871682.34,8100.0,37584.0,14702624.0,EVEN3,70278542.72,,2023-05-01,4.941509863945578,4.64,4.64,-168300.0,53186.34000000003,4.78,4.64
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,231300.0,1386173.85,999800.0,5850223.18,13025084.0,EVEN3,82709283.4,,2024-04-28,5.992969520103761,5.851393458691738,5.851393458691738,768500.0,32746.543004601062,6.3500000000000005,5.851393458691738
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,217900.0,1511297.44,103700.0,702484.31,12886296.0,EVEN3,90461797.92,,2024-05-28,6.935738595686094,6.774197782063646,6.774197782063646,-114200.0,35199.74328833144,7.0200000000000005,6.774197782063646
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,494200.0,3857178.61,800.0,6000.0,12063962.0,EVEN3,98924488.4,,2024-06-28,7.804893990287333,7.5,7.5,-493400.0,150678.6099999999,8.200000000000001,7.5
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,169000.0,794087.52,24500.0,109179.44,13425497.0,EVEN3,60146226.56,,2023-05-29,4.698742721893491,4.456303673469388,4.456303673469388,-144500.0,40972.19918367341,4.48,4.456303673469388
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,1444900.0,6806012.9,87800.0,386512.42,11358026.0,EVEN3,50088894.66,,2023-06-29,4.710369506540245,4.402191571753987,4.402191571753987,-1357100.0,445286.2979726653,4.409999999999999,4.402191571753987
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,704800.0,3404428.56,36800.0,174615.0,10221991.0,EVEN3,51621054.55,,2023-10-27,4.8303469920544835,4.744972826086957,4.744972826086957,-668000.0,60171.7121739128,5.05,4.744972826086957
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,525800.0,3274469.55,9900.0,57625.0,10169181.0,EVEN3,64981066.59,,2023-11-27,6.227595188284519,5.820707070707071,5.820707070707071,-515900.0,213941.772222222,6.390000000000001,5.820707070707071
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,265700.0,1781993.94,190900.0,1223757.35,10692446.0,EVEN3,72815557.26,,2023-12-27,6.706789386526157,6.410462807752751,6.410462807752751,-74800.0,78733.97198009414,6.8100000000000005,6.410462807752751
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,156300.0,1097421.28,900.0,6370.39,10872058.0,EVEN3,80344508.62,,2024-01-27,7.021249392194498,7.078211111111112,7.078211111111112,-155400.0,-8903.116666666707,7.390000000000001,7.078211111111112
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,128500.0,1009634.76,371400.0,2551966.61,10634319.0,EVEN3,68378671.17,,2024-02-27,7.857079844357977,6.87120788906839,6.87120788906839,242900.0,126684.54625471198,6.430000000000001,6.87120788906839
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,85800.0,611448.94,408000.0,2563625.27,12926910.0,EVEN3,79759034.7,,2024-03-28,7.126444522144522,6.283395269607843,6.283395269607843,322200.0,72333.625867647,6.17,6.283395269607843
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,129200.0,1012626.19,212800.0,1591313.1,12144358.0,EVEN3,90839797.84,,2024-07-29,7.837664009287925,7.477975093984963,7.477975093984963,83600.0,46471.80785714276,7.48,7.477975093984963
