CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1052936.0,EZTC3,15425512.4,,2023-05-01,,,0.0,0.0,,14.65,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,17700.0,253496.0,0.0,0.0,898500.0,EZTC3,12911445.0,,2024-04-28,14.32180790960452,,0.0,-17700.0,253496.0,14.37,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,11000.0,157641.0,0.0,0.0,445371.0,EZTC3,8194826.4,,2024-05-28,14.331,,0.0,-11000.0,157641.0,18.400000000000002,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,17413.0,EZTC3,325623.1,,2024-06-28,,,0.0,0.0,,18.7,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,709087.0,EZTC3,9012495.77,,2023-05-29,,,0.0,0.0,,12.709999999999999,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1056000.0,EZTC3,12862080.0,,2023-06-29,,,0.0,0.0,,12.18,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,300.0,4601.0,0.0,0.0,1055700.0,EZTC3,15339321.0,,2023-07-29,15.336666666666666,,0.0,-300.0,4601.0,14.53,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,139500.0,2250961.0,0.0,0.0,916200.0,EZTC3,16152606.0,,2023-08-29,16.135921146953404,,0.0,-139500.0,2250961.0,17.63,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,916200.0,EZTC3,16876404.0,,2023-12-27,,,0.0,0.0,,18.42,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,916200.0,EZTC3,19909026.0,,2024-01-27,,,0.0,0.0,,21.73,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,881821.0,EZTC3,19435334.84,,2024-02-27,,,0.0,0.0,,22.04,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,916200.0,EZTC3,17242884.0,,2024-03-28,,,0.0,0.0,,18.82,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2780.0,EZTC3,42923.2,,2024-07-29,,,0.0,0.0,,15.44,
