CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,126000.0,GEPA4,3239460.0,,2023-05-01,,,0.0,0.0,,25.71,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,1200.0,30837.0,0.0,0.0,98200.0,GEPA4,2588552.0,,2024-04-28,25.6975,,0.0,-1200.0,30837.000000000004,26.36,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,26300.0,684750.0,0.0,0.0,71900.0,GEPA4,1875871.0,,2024-05-28,26.0361216730038,,0.0,-26300.0,684750.0,26.09,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,23700.0,616274.0,0.0,0.0,48200.0,GEPA4,1258020.0,,2024-06-28,26.0031223628692,,0.0,-23700.0,616274.0,26.1,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,0.0,0.0,126000.0,GEPA4,3036600.0,,2023-05-29,,,0.0,0.0,,24.1,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,126000.0,GEPA4,2974860.0,,2023-06-29,,,0.0,0.0,,23.61,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,2000.0,50141.0,0.0,0.0,124000.0,GEPA4,3186800.0,,2023-07-29,25.0705,,0.0,-2000.0,50141.0,25.7,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,14400.0,360913.0,0.0,0.0,109600.0,GEPA4,2740000.0,,2023-08-29,25.063402777777778,,0.0,-14400.0,360913.0,25.0,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,6200.0,161128.0,0.0,0.0,103400.0,GEPA4,2768018.0,,2023-12-27,25.988387096774193,,0.0,-6200.0,161128.0,26.77,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,2000.0,52339.0,0.0,0.0,101400.0,GEPA4,2697240.0,,2024-01-27,26.1695,,0.0,-2000.0,52339.0,26.6,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,200.0,5400.0,0.0,0.0,101200.0,GEPA4,2731388.0,,2024-02-27,27.0,,0.0,-200.0,5400.0,26.99,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,1800.0,48600.0,0.0,0.0,99400.0,GEPA4,2550604.0,,2024-03-28,27.0,,0.0,-1800.0,48600.0,25.66,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,48200.0,GEPA4,1251272.0,,2024-07-29,,,0.0,0.0,,25.96,
