CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,0.0,0.0,822715.0,18295430.32,1596072.0,GGBR4,34746487.44,,2024-04-28,,22.23787134062221,22.23787134062221,822715.0,,21.77,22.23787134062221
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,3992.0,96362.21,172172.0,3906982.71,1764252.0,GGBR4,38548906.2,,2024-05-28,24.138830160320644,22.69232343238157,22.69232343238157,168180.0,5774.454857932782,21.85,22.69232343238157
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,13035.0,313509.27,147992.0,3356871.28,1899209.0,GGBR4,45125205.84,,2024-06-28,24.051344073647872,22.68278879939456,22.68278879939456,134957.0,17839.117999891903,23.76,22.68278879939456
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,14828.0,368030.96,396161.0,9540717.25,381333.0,GGBR4,9140552.01,,2023-08-29,24.82,24.08292903642711,24.08292903642711,381333.0,10929.288247858813,23.97,24.08292903642711
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,28890.0,736962.84,112740.0,2818924.49,465183.0,GGBR4,11662137.81,,2023-12-27,25.509271028037382,25.003765211992196,25.003765211992196,83850.0,14604.063025545436,25.07,25.003765211992196
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,198380.0,5656992.87,28170.0,736852.7,294973.0,GGBR4,8627960.25,,2024-01-27,28.51594349228753,26.157355342563008,26.157355342563008,-170210.0,467896.7171423506,29.25,26.157355342563008
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,4316.0,125522.56,340716.0,8719876.68,631373.0,GGBR4,16320992.05,,2024-02-27,29.083076923076923,25.59280069031099,25.59280069031099,336400.0,15064.032220617764,25.85,25.59280069031099
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,0.0,0.0,141984.0,3482562.48,773357.0,GGBR4,18661104.41,,2024-03-28,,24.527851588911428,24.527851588911428,141984.0,,24.13,24.527851588911428
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,1192138.0,26058021.55,3091347.0,GGBR4,65041940.88,,2024-07-29,,21.85822576748665,21.85822576748665,1192138.0,,21.04,21.85822576748665
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação preferencial,3689756.0,118936706.56,0.0,0.0,31362.0,GGBR4,1026791.88,,2023-05-01,32.23430128171077,,0.0,-3689756.0,118936706.56,32.74,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,347921.0,GGBR4,7574240.17,,2024-04-28,,,0.0,0.0,,21.77,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação preferencial,1193674.0,28047671.83,0.0,0.0,8760.0,GGBR4,191406.0,,2024-05-28,23.4969278295414,,0.0,-1193674.0,28047671.83,21.85,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,0.0,0.0,735926.0,GGBR4,21069561.38,,2023-05-29,,,0.0,0.0,,28.63,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação preferencial,1396345.0,35283407.11,0.0,0.0,526860.0,GGBR4,13266334.8,,2023-07-29,25.268402228675576,,0.0,-1396345.0,35283407.11,25.18,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação preferencial,684102.0,16534745.34,555685.0,13449518.51,43221.0,GGBR4,1036007.37,,2023-11-27,24.169999999999998,24.203493903920386,24.203493903920386,-128417.0,-22913.246659744877,23.97,24.203493903920386
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação preferencial,0.0,0.0,263110.0,6439332.55,370795.0,GGBR4,9295830.65,,2023-12-27,,24.473917943065636,24.473917943065636,263110.0,,25.07,24.473917943065636
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação preferencial,669570.0,19107293.27,0.0,0.0,19356.0,GGBR4,566163.0,,2024-01-27,28.536662738772645,,0.0,-669570.0,19107293.27,29.25,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação preferencial,0.0,0.0,246327.0,6820794.63,169739.0,GGBR4,4387753.15,,2024-02-27,,27.69,27.69,246327.0,,25.85,27.69
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,377899.0,GGBR4,9118702.87,,2024-03-28,,,0.0,0.0,,24.13,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,660195.0,GGBR4,13890502.8,,2024-07-29,,,0.0,0.0,,21.040000000000003,
