CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,1043605.0,7096314.65,0.0,0.0,357536.0,GMAT3,2445546.24,,2023-05-01,6.799808979451038,,0.0,-1043605.0,7096314.65,6.840000000000001,
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,6570307.0,40977842.75,23293092.0,GMAT3,135565795.44,,2024-04-28,,6.236823142358492,6.236823142358492,6570307.0,,5.82,6.236823142358492
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,4106047.0,25156765.4,27399139.0,GMAT3,173984532.65,,2024-05-28,,6.1267602148733316,6.1267602148733316,4106047.0,,6.3500000000000005,6.1267602148733316
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,72708.0,509103.81,1223262.0,7855057.28,28549693.0,GMAT3,204986795.74,,2024-06-28,7.00203292622545,6.421402185304538,6.421402185304538,1150554.0,42216.49991087763,7.180000000000001,6.421402185304538
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,5100.0,31777.0,57870.0,332808.6,410306.0,GMAT3,2314125.84,,2023-05-29,6.23078431372549,5.750969414204251,5.750969414204251,52770.0,2447.055987558319,5.64,5.750969414204251
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,4963.0,27801.4,35196.0,205632.6,440539.0,GMAT3,2519883.08,,2023-06-29,5.601732822889382,5.842499147630413,5.842499147630413,30233.0,-1194.923269689738,5.72,5.842499147630413
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,31222.0,186639.37,29440.0,161849.2,438757.0,GMAT3,2417551.07,,2023-07-29,5.97781596310294,5.497595108695653,5.497595108695653,-1782.0,14993.455516304322,5.51,5.497595108695653
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,302630.0,2117786.03,541751.0,3213021.96,677878.0,GMAT3,4941730.62,,2023-08-29,6.99793817532961,5.930809467818241,5.930809467818241,239121.0,322945.16075416555,7.29,5.930809467818241
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,71009.0,563699.35,13156213.0,95028365.48,13085204.0,GMAT3,88063422.92,,2024-02-27,7.938421186046839,7.2230789726496525,7.2230789726496525,13085204.0,50795.73523112083,6.73,7.2230789726496525
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,3637581.0,24991602.82,16722785.0,GMAT3,114383849.4,,2024-03-28,,6.870390740439869,6.870390740439869,3637581.0,,6.840000000000001,6.870390740439869
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,24392.0,174399.62,1027022.0,7062337.21,28729423.0,GMAT3,197658430.24,,2024-07-29,7.149869629386684,6.876519889544722,6.876519889544722,1002630.0,6667.546854225126,6.88,6.876519889544722
