CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação preferencial,1061984.0,14797511.32,0.0,0.0,17119992.0,GOAU4,248068684.08,,2023-05-01,13.933836404314944,,0.0,-1061984.0,14797511.32,14.49,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,16929486.0,GOAU4,174881590.38,,2024-04-28,,,0.0,0.0,,10.33,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação preferencial,0.0,0.0,2597096.0,29658000.41,19526582.0,GOAU4,200733262.96,,2024-05-28,,11.419678136657252,11.419678136657252,2597096.0,,10.280000000000001,11.419678136657252
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação preferencial,0.0,0.0,76493.0,830713.98,19603075.0,GOAU4,212889394.5,,2024-06-28,,10.86,10.86,76493.0,,10.86,10.86
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação preferencial,1959045.0,26809569.77,0.0,0.0,15160947.0,GOAU4,190724713.26,,2023-05-29,13.685019879584186,,0.0,-1959045.0,26809569.77,12.58,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação preferencial,620247.0,7942525.43,2906844.0,33914689.5,17447544.0,GOAU4,206404445.52,,2023-06-29,12.805423371656776,11.667185958379603,11.667185958379603,2286597.0,705988.3408729265,11.83,11.667185958379603
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,1951999.0,22953916.51,19399543.0,GOAU4,226198671.38,,2023-07-29,,11.759184564131438,11.759184564131438,1951999.0,,11.66,11.759184564131438
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação preferencial,0.0,0.0,1487028.0,16535751.36,20886571.0,GOAU4,234138460.91,,2023-11-27,,11.12,11.12,1487028.0,,11.209999999999999,11.12
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,20886571.0,GOAU4,246879269.22,,2023-12-27,,,0.0,0.0,,11.82,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação preferencial,3443904.0,46294784.01,0.0,0.0,17442667.0,GOAU4,239836671.25,,2024-01-27,13.442530340566984,,0.0,-3443904.0,46294784.01,13.75,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação preferencial,513181.0,6820175.49,0.0,0.0,16929486.0,GOAU4,200106524.52,,2024-02-27,13.290000000000001,,0.0,-513181.0,6820175.49,11.82,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,16929486.0,GOAU4,188763768.9,,2024-03-28,,,0.0,0.0,,11.15,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,19603075.0,GOAU4,194266473.25,,2024-07-29,,,0.0,0.0,,9.91,
