CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,702064.0,HBRE3,3075040.32,,2023-05-01,,,0.0,0.0,,4.38,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,2651.0,13197.13,0.0,0.0,356662.0,HBRE3,1729810.7,,2024-04-28,4.978170501697472,,0.0,-2651.0,13197.13,4.85,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,22924.0,117843.76,0.0,0.0,333738.0,HBRE3,1665352.62,,2024-05-28,5.140628162624323,,0.0,-22924.0,117843.76,4.99,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,117063.0,652672.85,0.0,0.0,216675.0,HBRE3,1315217.25,,2024-06-28,5.57539828980976,,0.0,-117063.0,652672.85,6.07,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,702064.0,HBRE3,2997813.28,,2023-05-29,,,0.0,0.0,,4.27,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,702064.0,HBRE3,2716987.68,,2023-06-29,,,0.0,0.0,,3.87,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,702064.0,HBRE3,2660822.56,,2023-07-29,,,0.0,0.0,,3.79,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,702064.0,HBRE3,3089081.6,,2023-11-27,,,0.0,0.0,,4.4,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,17961.0,99079.63,0.0,0.0,684103.0,HBRE3,3844658.86,,2023-12-27,5.516376036968989,,0.0,-17961.0,99079.63,5.62,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,25381.0,142059.44,0.0,0.0,658722.0,HBRE3,3530749.92,,2024-01-27,5.597078129309326,,0.0,-25381.0,142059.44,5.36,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,299409.0,1680301.65,0.0,0.0,359313.0,HBRE3,1997780.28,,2024-02-27,5.6120612606835465,,0.0,-299409.0,1680301.65,5.5600000000000005,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,359313.0,HBRE3,1925917.68,,2024-03-28,,,0.0,0.0,,5.359999999999999,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,21956.0,121294.71,0.0,0.0,194719.0,HBRE3,922968.06,,2024-07-29,5.524444798688286,,0.0,-21956.0,121294.71,4.74,
