CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,2192779.0,8016197.37,2192779.0,HBSA3,8639549.26,,2024-06-28,,3.655725164277841,3.655725164277841,2192779.0,,3.94,3.655725164277841
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,420258.0,1571492.06,2613037.0,HBSA3,9746628.01,,2024-07-29,,3.7393507321692865,3.7393507321692865,420258.0,,3.73,3.7393507321692865
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,2069900.0,4260006.0,8140416.0,HBSA3,17664702.72,,2023-05-01,,2.0580733368761774,2.0580733368761774,2069900.0,,2.17,2.0580733368761774
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,5291100.0,10363874.0,13644672.0,HBSA3,25242643.2,,2023-05-29,,1.9587371246054697,1.9587371246054697,5291100.0,,1.8499999999999999,1.9587371246054697
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,626800.0,1341480.0,0.0,0.0,11722574.0,HBSA3,25203534.1,,2023-06-29,2.140204211869815,,0.0,-626800.0,1341480.0,2.15,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,4519600.0,11038234.0,0.0,0.0,9802100.0,HBSA3,25093376.0,,2023-07-29,2.442303301177095,,0.0,-4519600.0,11038234.0,2.56,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,2595700.0,7593402.0,0.0,0.0,6845553.0,HBSA3,21084303.24,,2023-08-29,2.925377354856108,,0.0,-2595700.0,7593402.0,3.0799999999999996,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,1985400.0,6957891.0,1404800.0,4599353.0,5625800.0,HBSA3,17890044.0,,2023-12-27,3.5045285584768813,3.274026907744875,3.274026907744875,-580600.0,457637.9773633254,3.18,3.274026907744875
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,4274000.0,15943179.0,844500.0,2639012.0,2196300.0,HBSA3,8741274.0,,2024-01-27,3.730271174543753,3.124940201302546,3.124940201302546,-3429500.0,2587184.5796329193,3.98,3.124940201302546
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,2490500.0,10504875.0,0.0,0.0,705800.0,HBSA3,2780852.0,,2024-02-27,4.217978317606907,,0.0,-2490500.0,10504875.0,3.94,
