CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação preferencial,4966620.0,42444779.53,15051071.0,120190249.35,28161173.0,ITSA4,240214805.69,,2023-05-01,8.546009062501259,7.985494809638463,7.985494809638463,10084451.0,2783861.2985534198,8.53,7.985494809638463
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação preferencial,1866403.0,16534863.43,0.0,0.0,14270524.0,ITSA4,123297327.36,,2024-04-28,8.859213915751313,,0.0,-1866403.0,16534863.429999998,8.64,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação preferencial,4113929.0,40256768.25,0.0,0.0,11097032.0,ITSA4,108196062.0,,2024-05-28,9.785479586546098,,0.0,-4113929.0,40256768.25,9.75,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação preferencial,0.0,0.0,43523.0,451333.51,11140555.0,ITSA4,115527555.35,,2024-06-28,,10.370000000000001,10.370000000000001,43523.0,,10.37,10.370000000000001
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,2603212.0,21788103.47,30764385.0,ITSA4,253190888.55,,2023-05-29,,8.369699997541499,8.369699997541499,2603212.0,,8.23,8.369699997541499
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação preferencial,3878538.0,30715538.67,0.0,0.0,26885847.0,ITSA4,221001662.34,,2023-06-29,7.919359993378949,,0.0,-3878538.0,30715538.67,8.22,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,26885847.0,ITSA4,233369151.96,,2023-07-29,,,0.0,0.0,,8.68,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,26885847.0,ITSA4,236057736.66,,2023-11-27,,,0.0,0.0,,8.78,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,26885847.0,ITSA4,259179565.08,,2023-12-27,,,0.0,0.0,,9.64,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação preferencial,9219176.0,90648767.29,0.0,0.0,17666671.0,ITSA4,173486709.22,,2024-01-27,9.832632253685146,,0.0,-9219176.0,90648767.29,9.82,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação preferencial,2881519.0,28119269.58,1408684.0,13810850.86,16193836.0,ITSA4,149631044.64,,2024-02-27,9.75848834590367,9.80408016276184,9.80408016276184,-1472835.0,-131373.68652133824,9.239999999999998,9.80408016276184
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação preferencial,56909.0,528903.21,0.0,0.0,16136927.0,ITSA4,146039189.35,,2024-03-28,9.293841220193642,,0.0,-56909.0,528903.21,9.049999999999999,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,14219879.0,142081354.94,25360434.0,ITSA4,253604340.0,,2024-07-29,,9.991741486689163,9.991741486689163,14219879.0,,10.0,9.991741486689163
