CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,73573.0,1852332.41,35123.0,865078.91,5458803.0,ITUB4,138271479.99,,2023-05-01,25.176795971348184,24.62998348660422,24.62998348660422,-38450.0,40230.63494006761,25.330000000000002,24.62998348660422
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,6500.0,175435.0,215427.0,5894178.34,6944762.0,ITUB4,186258516.84,,2024-04-28,26.99,27.36044386265417,27.36044386265417,208927.0,-2407.885107252106,26.82,27.36044386265417
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,25201.0,777339.17,387690.0,11583962.49,7307251.0,ITUB4,230836059.09,,2024-05-28,30.845568429824215,29.87944618122727,29.87944618122727,362489.0,24347.24678689164,31.59,29.87944618122727
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,268195.0,8804054.88,51538.0,1655556.34,7090594.0,ITUB4,240867478.18,,2024-06-28,32.82706567982252,32.123022624083205,32.123022624083205,-216657.0,188820.82733400486,33.97,32.123022624083205
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,77008.0,2031050.74,185600.0,4889588.0,5567395.0,ITUB4,141578854.85,,2023-05-29,26.374542125493456,26.344762931034484,26.344762931034484,108592.0,2293.2362068964503,25.43,26.344762931034484
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,53400.0,1292374.0,22255.0,535985.04,5536250.0,ITUB4,136966825.0,,2023-06-29,24.20176029962547,24.08380319029432,24.08380319029432,-31145.0,6298.909638283458,24.74,24.08380319029432
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,182104.0,4609284.58,91600.0,2234640.0,5445746.0,ITUB4,141153736.32,,2023-07-29,25.311275864341255,24.395633187772926,24.395633187772926,-90504.0,166742.1939737989,25.919999999999998,24.395633187772926
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,57758.0,1508652.15,200340.0,5307743.71,5588328.0,ITUB4,147140676.24,,2023-08-29,26.120228366633192,26.493679295198163,26.493679295198163,142582.0,-21569.77873205558,26.330000000000002,26.493679295198163
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,15001.0,414689.36,134108.0,3799877.71,5707435.0,ITUB4,162205302.7,,2023-12-27,27.64411439237384,28.33445961463895,28.33445961463895,119107.0,-10355.86867919889,28.419999999999998,28.33445961463895
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,34000.0,968902.0,410767.0,11859620.44,6084202.0,ITUB4,174251545.28,,2024-01-27,28.497117647058822,28.871891948476872,28.871891948476872,376767.0,-12742.3262482137,28.64,28.871891948476872
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,0.0,0.0,358870.0,9947527.91,6443072.0,ITUB4,176733464.96,,2024-02-27,,27.71902892412294,27.71902892412294,358870.0,,27.43,27.71902892412294
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,0.0,0.0,292763.0,7950317.37,6735835.0,ITUB4,183282070.35,,2024-03-28,,27.156154876128472,27.156154876128472,292763.0,,27.21,27.156154876128472
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,327033.0,10767773.75,7417627.0,ITUB4,243149813.06,,2024-07-29,,32.925648940626786,32.925648940626786,327033.0,,32.78,32.925648940626786
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,3300.0,89799.0,0.0,0.0,315.0,ITUB4,8952.3,,2023-12-27,27.21181818181818,,0.0,-3300.0,89799.0,28.419999999999998,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,1212199.0,30259645.06,1819941.0,ITUB4,46099105.53,,2023-05-01,,24.962605199311334,24.962605199311334,1212199.0,,25.330000000000002,24.962605199311334
