CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,18500.0,407328.99,2000.0,43340.0,1098363.0,JBSS3,22055129.04,,2023-05-01,22.017783243243244,21.67,21.67,-16500.0,6433.98999999998,20.08,21.67
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,28400.0,536441.39,24300.0,445790.48,1217857.0,JBSS3,24393675.71,,2024-04-28,18.88878133802817,18.345287242798353,18.345287242798353,-4100.0,15435.232304526824,20.03,18.345287242798353
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,64500.0,1333675.17,118600.0,2489297.9,1176424.0,JBSS3,27304801.04,,2024-05-28,20.67713441860465,20.98902107925801,20.98902107925801,54100.0,-20116.68961214177,23.21,20.98902107925801
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,22900.0,569973.27,6500.0,155246.0,1194442.0,JBSS3,29753550.22,,2024-06-28,24.88966244541485,23.884,23.884,-16400.0,23029.670000000042,24.91,23.884
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,71000.0,1350554.26,0.0,0.0,1398249.0,JBSS3,26832398.31,,2023-05-29,19.021890985915494,,0.0,-71000.0,1350554.26,19.189999999999998,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,145500.0,2887723.48,0.0,0.0,1444100.0,JBSS3,25777185.0,,2023-06-29,19.84689676975945,,0.0,-145500.0,2887723.48,17.85,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,484200.0,8257901.6,0.0,0.0,584700.0,JBSS3,10466130.0,,2023-10-27,17.05473275505989,,0.0,-484200.0,8257901.6,17.9,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,134500.0,2194543.77,600.0,9732.0,691100.0,JBSS3,11610480.0,,2023-11-27,16.316310557620817,16.22,16.22,-133900.0,12953.770000000002,16.8,16.22
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,8700.0,157383.0,0.0,0.0,474216.0,JBSS3,8279811.36,,2023-12-27,18.09,,0.0,-8700.0,157383.0,17.46,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,34900.0,624413.2,640296.0,JBSS3,12024758.88,,2024-01-27,,17.89149570200573,17.89149570200573,34900.0,,18.78,17.89149570200573
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,272900.0,5086573.85,751404.0,JBSS3,13825833.6,,2024-02-27,,18.638966104800293,18.638966104800293,272900.0,,18.4,18.638966104800293
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,47600.0,864914.21,1221957.0,JBSS3,22056323.85,,2024-03-28,,18.170466596638654,18.170466596638654,47600.0,,18.05,18.170466596638654
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,58100.0,1404287.88,6100.0,143349.62,929020.0,JBSS3,21766938.6,,2024-07-29,24.17018726333907,23.499937704918032,23.499937704918032,-52000.0,38941.49934426228,23.430000000000003,23.499937704918032
