CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,151000.0,4810174.67,200.0,6534.0,1169576.0,LEVE3,39905933.12,,2023-05-01,31.855461390728475,32.67,32.67,-150800.0,-122995.33000000048,34.12,32.67
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,642100.0,26617536.12,27100.0,1090466.35,61352.0,LEVE3,2235666.88,,2024-04-28,41.453879644915126,40.238610701107014,40.238610701107014,-615000.0,780324.1888191891,36.44,40.238610701107014
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,73600.0,2565023.02,1331300.0,37648383.74,1247631.0,LEVE3,39450092.22,,2024-05-28,34.85085625,28.279413911214604,28.279413911214604,1257700.0,483658.1561346051,31.619999999999997,28.279413911214604
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,23900.0,834122.18,9900.0,310912.0,993245.0,LEVE3,35101278.3,,2024-06-28,34.90050962343096,31.405252525252525,31.405252525252525,-14000.0,83536.64464646467,35.339999999999996,31.405252525252525
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,188200.0,6549173.47,8400.0,271434.0,1050321.0,LEVE3,33862349.04,,2023-05-29,34.79900887353879,32.31357142857143,32.31357142857143,-179800.0,467759.32714285713,32.24,32.31357142857143
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,61060.0,1994946.91,117000.0,3431575.15,1144709.0,LEVE3,34936518.68,,2023-06-29,32.6719113986243,29.329702136752136,29.329702136752136,55940.0,204075.29752991453,30.52,29.329702136752136
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,21600.0,682102.9,8000.0,227849.47,1074572.0,LEVE3,30893945.0,,2023-10-27,31.578837962962965,28.48118375,28.48118375,-13600.0,66909.33100000005,28.75,28.48118375
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,337000.0,13241451.62,0.0,0.0,806264.0,LEVE3,33234202.08,,2023-11-27,39.292141305637976,,0.0,-337000.0,13241451.619999997,41.22,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,279200.0,12107341.63,200.0,9047.6,549812.0,LEVE3,25588250.48,,2023-12-27,43.364404118911175,45.238,45.238,-279000.0,-523107.9699999999,46.54,45.238
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,145600.0,6639501.02,500.0,22717.15,620615.0,LEVE3,28169714.85,,2024-01-27,45.60096854395604,45.4343,45.4343,-145100.0,24266.939999999784,45.39,45.4343
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,154400.0,7255420.41,17400.0,751375.53,483783.0,LEVE3,23187719.19,,2024-02-27,46.99106483160622,43.182501724137936,43.182501724137936,-137000.0,588042.1437931026,47.93,43.182501724137936
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,92800.0,4599907.28,0.0,0.0,676352.0,LEVE3,32633984.0,,2024-03-28,49.56796637931035,,0.0,-92800.0,4599907.28,48.25,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,76700.0,2769658.19,600.0,20259.48,948029.0,LEVE3,32270907.16,,2024-07-29,36.11027627118644,33.7658,33.7658,-76100.0,179821.33000000028,34.04,33.7658
