CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,227600.0,1906723.0,2400.0,18888.0,209147.0,MATD3,1926243.87,,2023-05-01,8.377517574692442,7.87,7.87,-225200.0,115510.99999999981,9.21,7.87
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,457200.0,3364123.0,635569.0,MATD3,4474405.76,,2024-04-28,,7.358099300087489,7.358099300087489,457200.0,,7.04,7.358099300087489
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,592059.0,MATD3,4588457.25,,2024-05-28,,,0.0,0.0,,7.75,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,35400.0,280704.0,681300.0,MATD3,5688855.0,,2024-06-28,,7.929491525423729,7.929491525423729,35400.0,,8.35,7.929491525423729
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,179700.0,1737581.0,0.0,0.0,147700.0,MATD3,1252496.0,,2023-05-29,9.669343350027825,,0.0,-179700.0,1737581.0000000002,8.48,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,146500.0,MATD3,1150025.0,,2023-06-29,,,0.0,0.0,,7.85,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,45900.0,345835.0,189300.0,MATD3,1590120.0,,2023-07-29,,7.534531590413943,7.534531590413943,45900.0,,8.4,7.534531590413943
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,56400.0,537010.0,0.0,0.0,137200.0,MATD3,1255380.0,,2023-08-29,9.52145390070922,,0.0,-56400.0,537010.0,9.15,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,19800.0,213408.0,0.0,0.0,117400.0,MATD3,1251484.0,,2023-12-27,10.778181818181817,,0.0,-19800.0,213407.99999999997,10.66,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,117400.0,MATD3,1206872.0,,2024-01-27,,,0.0,0.0,,10.28,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,117400.0,MATD3,1132910.0,,2024-02-27,,,0.0,0.0,,9.65,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,71900.0,584002.0,146147.0,MATD3,1271478.9,,2024-03-28,,8.122420027816412,8.122420027816412,71900.0,,8.7,8.122420027816412
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,1294300.0,9873648.0,1972536.0,MATD3,13058188.32,,2024-07-29,,7.628562157150584,7.628562157150584,1294300.0,,6.62,7.628562157150584
