CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,100.0,306.99,161700.0,486604.14,10325190.0,MELK3,30975570.0,,2023-05-01,3.0699,3.0093020408163267,3.0093020408163267,161600.0,6.059795918367339,3.0,3.0093020408163267
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,580600.0,2499205.19,52400.0,204292.75,12452978.0,MELK3,51057209.8,,2024-04-28,4.304521512228729,3.898716603053435,3.898716603053435,-528200.0,235610.33026717568,4.1,3.898716603053435
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,835300.0,3457913.65,14000.0,58091.0,11585269.0,MELK3,48658129.8,,2024-05-28,4.139726625164611,4.149357142857143,4.149357142857143,-821300.0,-8044.371428571964,4.2,4.149357142857143
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,41800.0,195956.5,37600.0,165506.61,11560483.0,MELK3,55490318.4,,2024-06-28,4.687954545454545,4.401771542553191,4.401771542553191,-4200.0,11962.449521276601,4.8,4.401771542553191
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,0.0,0.0,328200.0,967017.72,10833861.0,MELK3,32501583.0,,2023-05-29,,2.9464281535648995,2.9464281535648995,328200.0,,3.0,2.9464281535648995
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,0.0,0.0,1563500.0,4646389.66,12418562.0,MELK3,37255686.0,,2023-06-29,,2.971787438439399,2.971787438439399,1563500.0,,3.0,2.971787438439399
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,0.0,0.0,512700.0,1517972.81,12813241.0,MELK3,44461946.27,,2023-10-27,,2.9607427540472013,2.9607427540472013,512700.0,,3.47,2.9607427540472013
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,49200.0,173849.44,89400.0,343419.25,12941000.0,MELK3,52411050.0,,2023-11-27,3.5335252032520326,3.8413786353467563,3.8413786353467563,40200.0,-15146.388859060407,4.05,3.8413786353467563
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,179400.0,743050.66,13144598.0,MELK3,55864541.5,,2023-12-27,,4.141865440356745,4.141865440356745,179400.0,,4.25,4.141865440356745
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,106200.0,479328.82,3700.0,16897.6,13033188.0,MELK3,62559302.4,,2024-01-27,4.513454048964219,4.566918918918918,4.566918918918918,-102500.0,-5677.969189189071,4.8,4.566918918918918
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,159400.0,778082.05,193400.0,849848.92,13060963.0,MELK3,56292750.53,,2024-02-27,4.881317754077792,4.3942550155118925,4.3942550155118925,34000.0,77637.80052740444,4.3100000000000005,4.3942550155118925
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,139600.0,624415.26,95600.0,421962.14,12984388.0,MELK3,57910370.48,,2024-03-28,4.472888681948424,4.413829916317992,4.413829916317992,-44000.0,8244.603682008337,4.46,4.413829916317992
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,349600.0,1541132.84,6800.0,29101.77,11214782.0,MELK3,48896449.52,,2024-07-29,4.40827471395881,4.27967205882353,4.27967205882353,-342800.0,44959.48823529393,4.36,4.27967205882353
