CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,898710.0,3047773.69,77029.0,271020.75,12363363.0,MLAS3,41417266.05,,2023-05-01,3.391276040101924,3.518424878941697,3.518424878941697,-821681.0,-114269.93295369261,3.3499999999999996,3.518424878941697
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,3938708.0,11831212.15,0.0,0.0,8424655.0,MLAS3,19376706.5,,2023-05-29,3.00383073586567,,0.0,-3938708.0,11831212.15,2.3,
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,1080135.0,2499377.39,122799.0,175600.21,7467319.0,MLAS3,10230227.03,,2023-06-29,2.3139490804390195,1.429980781602456,1.429980781602456,-957336.0,954805.0984638316,1.3699999999999999,1.429980781602456
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,37700.0,71415.0,1961799.0,2710320.91,9391418.0,MLAS3,18688921.82,,2023-07-29,1.8942970822281167,1.3815487264495496,1.3815487264495496,1924099.0,19330.613012851976,1.99,1.3815487264495496
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,5245482.0,11902325.92,0.0,0.0,4145936.0,MLAS3,10364840.0,,2023-08-29,2.269062389309505,,0.0,-5245482.0,11902325.92,2.5,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,413300.0,1499773.0,11816800.0,MLAS3,39586280.0,,2023-05-01,,3.6287757077183644,3.6287757077183644,413300.0,,3.35,3.6287757077183644
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,164000.0,296449.0,0.0,0.0,16030500.0,MLAS3,28373985.0,,2024-04-28,1.8076158536585365,,0.0,-164000.0,296449.0,1.77,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,216500.0,389994.0,0.0,0.0,15613500.0,MLAS3,34974240.0,,2024-05-28,1.8013579676674365,,0.0,-216500.0,389994.0,2.24,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,15585000.0,MLAS3,32572650.0,,2024-06-28,,,0.0,0.0,,2.09,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,268900.0,697725.0,12085700.0,MLAS3,27797110.0,,2023-05-29,,2.5947378207512086,2.5947378207512086,268900.0,,2.3,2.5947378207512086
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,12085700.0,MLAS3,16557409.0,,2023-06-29,,,0.0,0.0,,1.37,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,4104400.0,7017087.0,16194500.0,MLAS3,32227055.0,,2023-07-29,,1.7096498879251536,1.7096498879251536,4104400.0,,1.99,1.7096498879251536
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,16194500.0,MLAS3,40486250.0,,2023-08-29,,,0.0,0.0,,2.5,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,16194500.0,MLAS3,40324305.0,,2023-12-27,,,0.0,0.0,,2.49,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,16194500.0,MLAS3,54251575.0,,2024-01-27,,,0.0,0.0,,3.35,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,16194500.0,MLAS3,50202950.0,,2024-02-27,,,0.0,0.0,,3.1,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,16194500.0,MLAS3,44696820.0,,2024-03-28,,,0.0,0.0,,2.76,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,694200.0,1360282.0,16210739.0,MLAS3,31773048.44,,2024-07-29,,1.9594958225295305,1.9594958225295305,694200.0,,1.9600000000000002,1.9594958225295305
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,40300.0,131256.28,321600.0,1126307.72,6559586.0,MLAS3,21974613.1,,2023-05-01,3.256979652605459,3.5022006218905473,3.5022006218905473,281300.0,-9882.405062189064,3.35,3.5022006218905473
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,3371900.0,7677085.5,251000.0,538036.75,4449646.0,MLAS3,7875873.42,,2024-04-28,2.276783267593938,2.1435727091633465,2.1435727091633465,-3120900.0,449172.6819721118,1.77,2.1435727091633465
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,4246800.0,8618106.17,0.0,0.0,250041.0,MLAS3,560091.84,,2024-05-28,2.029317643873034,,0.0,-4246800.0,8618106.17,2.2399999999999998,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,78900.0,181470.0,20100.0,56663.38,6474429.0,MLAS3,14891186.7,,2023-05-29,2.3,2.819073631840796,2.819073631840796,-58800.0,-40954.90955223882,2.3,2.819073631840796
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,0.0,0.0,205300.0,313300.39,5544374.0,MLAS3,7595792.38,,2023-06-29,,1.5260613248904042,1.5260613248904042,205300.0,,1.3699999999999999,1.5260613248904042
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,0.0,0.0,79400.0,100416.77,4673149.0,MLAS3,9299566.51,,2023-10-27,,1.2646948362720403,1.2646948362720403,79400.0,,1.99,1.2646948362720403
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,4400.0,8008.0,2900.0,5278.0,4535732.0,MLAS3,11339330.0,,2023-11-27,1.82,1.82,1.82,-1500.0,0.0,2.5,1.82
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,118500.0,288842.99,4564344.0,MLAS3,11365216.56,,2023-12-27,,2.43749358649789,2.43749358649789,118500.0,,2.49,2.43749358649789
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,600.0,1670.25,4210294.0,MLAS3,14104484.9,,2024-01-27,,2.78375,2.78375,600.0,,3.35,2.78375
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,87300.0,282224.04,5384984.0,MLAS3,16693450.4,,2024-02-27,,3.2328068728522332,3.2328068728522332,87300.0,,3.1,3.2328068728522332
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,81600.0,234038.5,239800.0,706636.46,7617741.0,MLAS3,21024965.16,,2024-03-28,2.8681188725490196,2.9467742285237697,2.9467742285237697,158200.0,-6418.277047539604,2.7600000000000002,2.9467742285237697
