CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,177300.0,1860805.0,612121.0,MOVI3,5356058.75,,2024-04-28,,10.495234066553863,10.495234066553863,177300.0,,8.75,10.495234066553863
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,588100.0,6562263.0,0.0,0.0,721000.0,MOVI3,8024730.0,,2024-05-28,11.158413535113077,,0.0,-588100.0,6562263.000000001,11.13,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,567800.0,6818936.0,0.0,0.0,153200.0,MOVI3,1821548.0,,2024-06-28,12.009397675237759,,0.0,-567800.0,6818935.999999999,11.89,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,11000.0,93142.0,723800.0,4427263.0,404700.0,MOVI3,3274023.0,,2023-06-29,8.467454545454546,6.1166938380768165,6.1166938380768165,712800.0,25858.36778115502,8.09,6.1166938380768165
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,58200.0,507376.0,0.0,0.0,485200.0,MOVI3,4177572.0,,2023-07-29,8.717800687285223,,0.0,-58200.0,507376.0,8.61,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,202000.0,2149769.0,0.0,0.0,351780.0,MOVI3,3591673.8,,2023-08-29,10.642420792079207,,0.0,-202000.0,2149769.0,10.209999999999999,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,6637.0,MOVI3,69887.61,,2023-12-27,,,0.0,0.0,,10.53,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,82755.0,MOVI3,944234.55,,2024-01-27,,,0.0,0.0,,11.41,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,268989.0,MOVI3,3338153.49,,2024-02-27,,,0.0,0.0,,12.41,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,679200.0,7526592.0,645521.0,MOVI3,7668789.48,,2024-03-28,,11.081554770318021,11.081554770318021,679200.0,,11.88,11.081554770318021
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,110936.0,MOVI3,1028376.72,,2024-07-29,,,0.0,0.0,,9.27,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,2554431.0,24060580.11,1298294.0,13372428.2,675444.0,MOVI3,6896283.24,,2023-11-27,9.419154445745452,10.299999999999999,10.299999999999999,-1256137.0,-2250059.1899999967,10.21,10.299999999999999
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,449886.0,5149218.49,0.0,0.0,140781.0,MOVI3,1482423.93,,2023-12-27,11.445607309407272,,0.0,-449886.0,5149218.49,10.53,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1800.0,MOVI3,20538.0,,2024-01-27,,,0.0,0.0,,11.41,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,89203.0,1095284.6,0.0,0.0,6971.0,MOVI3,86510.11,,2024-02-27,12.278562380189008,,0.0,-89203.0,1095284.6,12.41,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,1152547.0,13335120.55,589422.0,MOVI3,7002333.36,,2024-03-28,,11.570131673589017,11.570131673589017,1152547.0,,11.88,11.570131673589017
