CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,58200.0,MTSA4,2572440.0,,2023-05-01,,,0.0,0.0,,44.2,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,5100.0,237838.0,0.0,0.0,43100.0,MTSA4,2068369.0,,2024-04-28,46.63490196078431,,0.0,-5100.0,237838.0,47.99,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,27500.0,1269105.0,0.0,0.0,15600.0,MTSA4,751920.0,,2024-05-28,46.14927272727273,,0.0,-27500.0,1269105.0,48.2,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,11100.0,526216.0,0.0,0.0,4500.0,MTSA4,218610.0,,2024-06-28,47.40684684684685,,0.0,-11100.0,526216.0,48.58,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,0.0,0.0,58200.0,MTSA4,2615508.0,,2023-05-29,,,0.0,0.0,,44.94,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,58200.0,MTSA4,2382126.0,,2023-06-29,,,0.0,0.0,,40.93,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,58200.0,MTSA4,2443818.0,,2023-07-29,,,0.0,0.0,,41.99,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,58200.0,MTSA4,2444400.0,,2023-08-29,,,0.0,0.0,,42.0,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,58200.0,MTSA4,2793018.0,,2023-12-27,,,0.0,0.0,,47.99,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,58200.0,MTSA4,2967618.0,,2024-01-27,,,0.0,0.0,,50.99,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,5200.0,273000.0,0.0,0.0,53000.0,MTSA4,2773490.0,,2024-02-27,52.5,,0.0,-5200.0,273000.0,52.33,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,4800.0,252000.0,0.0,0.0,48200.0,MTSA4,2381080.0,,2024-03-28,52.5,,0.0,-4800.0,252000.0,49.4,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,4500.0,MTSA4,227250.0,,2024-07-29,,,0.0,0.0,,50.5,
