CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,4128.0,47034.76,7964.0,90449.35,304517.0,MYPK3,3489764.82,,2023-05-01,11.394079457364342,11.357276494224008,11.357276494224008,3836.0,151.92263184329664,11.459999999999999,11.357276494224008
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,54831.0,664281.78,374942.0,MYPK3,4229345.76,,2024-04-28,,12.115076872572086,12.115076872572086,54831.0,,11.28,12.115076872572086
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,33442.0,394686.59,408384.0,MYPK3,4880188.8,,2024-05-28,,11.802122779738054,11.802122779738054,33442.0,,11.95,11.802122779738054
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,21706.0,272028.72,430090.0,MYPK3,5543860.1,,2024-06-28,,12.532420528886021,12.532420528886021,21706.0,,12.889999999999999,12.532420528886021
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,4500.0,50444.0,10300.0,114363.0,310317.0,MYPK3,3497272.59,,2023-05-29,11.209777777777777,11.103203883495146,11.103203883495146,5800.0,479.5825242718399,11.27,11.103203883495146
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,3000.0,33489.0,200.0,2216.0,307517.0,MYPK3,3690204.0,,2023-06-29,11.163,11.08,11.08,-2800.0,249.00000000000057,12.0,11.08
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,2000.0,23408.0,7100.0,84425.0,312617.0,MYPK3,3548202.95,,2023-07-29,11.704,11.890845070422536,11.890845070422536,5100.0,-373.6901408450706,11.350000000000001,11.890845070422536
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,24199.0,282822.47,32908.0,352868.18,321326.0,MYPK3,4145105.4,,2023-08-29,11.68736187445762,10.722869211134071,10.722869211134071,8709.0,23339.75795976656,12.9,10.722869211134071
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,1437.0,19013.58,7900.0,99523.0,327789.0,MYPK3,4094084.61,,2023-12-27,13.231440501043842,12.597848101265823,12.597848101265823,6463.0,910.4722784810131,12.49,12.597848101265823
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,3200.0,43819.0,18200.0,221137.0,342789.0,MYPK3,4747627.65,,2024-01-27,13.6934375,12.150384615384615,12.150384615384615,15000.0,4937.769230769231,13.850000000000001,12.150384615384615
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,43964.0,651997.81,7728.0,108641.8,306553.0,MYPK3,4258021.17,,2024-02-27,14.830265899372215,14.058203933747413,14.058203933747413,-36236.0,33942.9322567288,13.89,14.058203933747413
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,5052.0,74342.93,18610.0,260956.51,320111.0,MYPK3,4385520.7,,2024-03-28,14.715544338875691,14.022380977968835,14.022380977968835,13558.0,3501.8612993014394,13.700000000000001,14.022380977968835
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,51126.0,621254.74,481216.0,MYPK3,5976702.72,,2024-07-29,,12.151444274928608,12.151444274928608,51126.0,,12.42,12.151444274928608
