CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,101600.0,1507757.01,400.0,5844.0,6088505.0,NEOE3,91692885.3,,2023-05-01,14.840128051181102,14.61,14.61,-101200.0,23381.01000000002,15.059999999999999,14.61
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,172400.0,3088226.09,165200.0,2901718.5,6693974.0,NEOE3,117278424.48,,2024-04-28,17.913144373549883,17.56488196125908,17.56488196125908,-7200.0,60040.43987893465,17.52,17.56488196125908
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,71100.0,1306498.53,73100.0,1345156.14,6681462.0,NEOE3,129419918.94,,2024-05-28,18.375506751054854,18.40158878248974,18.40158878248974,2000.0,-1854.4324350203606,19.37,18.40158878248974
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,146700.0,3020423.14,265900.0,5411288.21,6813845.0,NEOE3,145407452.3,,2024-06-28,20.58911479209271,20.3508394509214,20.3508394509214,119200.0,34954.99254983113,21.340000000000003,20.3508394509214
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,102600.0,1497153.74,12200.0,177510.84,5912365.0,NEOE3,83186975.55,,2023-05-29,14.59214171539961,14.550068852459017,14.550068852459017,-90400.0,4316.675737704829,14.07,14.550068852459017
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,277100.0,3999051.13,12500.0,173565.83,5565349.0,NEOE3,83480235.0,,2023-06-29,14.431797654276433,13.885266399999999,13.885266399999999,-264600.0,151443.81055999998,15.0,13.885266399999999
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,170700.0,2628572.55,20900.0,321276.5,5387207.0,NEOE3,83232348.15,,2023-10-27,15.398784710017573,15.372081339712919,15.372081339712919,-149800.0,4558.265311004433,15.450000000000001,15.372081339712919
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,23700.0,373995.57,219300.0,3462966.66,5440236.0,NEOE3,87696604.32,,2023-11-27,15.780403797468354,15.791001641586869,15.791001641586869,195600.0,-251.168905608791,16.119999999999997,15.791001641586869
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,323700.0,6440675.98,23400.0,377978.12,4725975.0,NEOE3,100332449.25,,2023-12-27,19.89705276490578,16.15291111111111,16.15291111111111,-300300.0,1211978.653333335,21.23,16.15291111111111
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,16900.0,352295.87,131700.0,2615501.94,5988201.0,NEOE3,117069329.55,,2024-01-27,20.84590946745562,19.85954396355353,19.85954396355353,114800.0,16669.577015945306,19.55,19.85954396355353
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,396300.0,7585835.42,6625854.0,NEOE3,120855576.96,,2024-02-27,,19.14164880141307,19.14164880141307,396300.0,,18.24,19.14164880141307
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,109800.0,2037819.53,6701174.0,NEOE3,123368613.34,,2024-03-28,,18.55937641165756,18.55937641165756,109800.0,,18.41,18.55937641165756
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,21700.0,461726.94,62300.0,1276306.68,6855774.0,NEOE3,139857789.6,,2024-07-29,21.277739170506912,20.48646356340289,20.48646356340289,40600.0,17170.680674157295,20.4,20.48646356340289
