CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,43157107.0,NTCO3,627935906.85,,2023-05-01,,,0.0,0.0,,14.55,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,46757407.0,NTCO3,596156939.25,,2024-04-28,,,0.0,0.0,,12.75,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,46757407.0,NTCO3,771029641.43,,2024-05-28,,,0.0,0.0,,16.49,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,46757407.0,NTCO3,789732604.23,,2024-06-28,,,0.0,0.0,,16.89,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,43157107.0,NTCO3,661166879.24,,2023-05-29,,,0.0,0.0,,15.32,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,43157107.0,NTCO3,569673812.4,,2023-06-29,,,0.0,0.0,,13.2,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,150493.0,1685521.6,3163946.0,34088488.72,46170560.0,NTCO3,510646393.6,,2023-07-29,11.200000000000001,10.774042515264167,10.774042515264167,3013453.0,64103.61975034988,11.06,10.774042515264167
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,46170560.0,NTCO3,641309078.4,,2023-11-27,,,0.0,0.0,,13.889999999999999,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,46170560.0,NTCO3,772895174.4,,2023-12-27,,,0.0,0.0,,16.74,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,46170560.0,NTCO3,843536131.2,,2024-01-27,,,0.0,0.0,,18.27,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,687047.0,10429373.46,46857607.0,NTCO3,711298474.26,,2024-02-27,,15.180000000000001,15.180000000000001,687047.0,,15.18,15.180000000000001
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,100200.0,1515024.0,0.0,0.0,46757407.0,NTCO3,680787845.92,,2024-03-28,15.12,,0.0,-100200.0,1515024.0,14.559999999999999,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,46757407.0,NTCO3,748118512.0,,2024-07-29,,,0.0,0.0,,16.0,
