CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,32246.0,819589.68,828831.0,OFSA3,22262400.66,,2023-05-01,,25.416785957948274,25.416785957948274,32246.0,,26.86,25.416785957948274
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,24956.0,498644.44,1027971.0,OFSA3,19490330.16,,2024-04-28,,19.980944061548325,19.980944061548325,24956.0,,18.96,19.980944061548325
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,27417.0,581003.47,1055388.0,OFSA3,23271305.4,,2024-05-28,,21.19135828135828,21.19135828135828,27417.0,,22.049999999999997,21.19135828135828
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,80077.0,1962270.2,1135465.0,OFSA3,29533444.65,,2024-06-28,,24.504791638048378,24.504791638048378,80077.0,,26.009999999999998,24.504791638048378
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,54467.0,1442157.03,883298.0,OFSA3,22373938.34,,2023-05-29,,26.4776292066756,26.4776292066756,54467.0,,25.33,26.4776292066756
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,9659.0,241088.14,892957.0,OFSA3,22100685.75,,2023-06-29,,24.959948234806916,24.959948234806916,9659.0,,24.75,24.959948234806916
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,5856.0,146985.6,898847.0,OFSA3,22561059.7,,2023-07-29,,25.1,25.1,5856.0,,25.099999999999998,25.1
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,39834.0,983084.5,938681.0,OFSA3,22105937.55,,2023-11-27,,24.679532560124517,24.679532560124517,39834.0,,23.55,24.679532560124517
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,14774.0,365506.49,953455.0,OFSA3,25752819.55,,2023-12-27,,24.73984635169893,24.73984635169893,14774.0,,27.01,24.73984635169893
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,8006.0,190910.02,961461.0,OFSA3,23738472.09,,2024-01-27,,23.845868098925806,23.845868098925806,8006.0,,24.69,23.845868098925806
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,22726.0,536506.87,984187.0,OFSA3,23246496.94,,2024-02-27,,23.60762430696119,23.60762430696119,22726.0,,23.62,23.60762430696119
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,18828.0,415016.5,1003015.0,OFSA3,21855696.85,,2024-03-28,,22.0425164648396,22.0425164648396,18828.0,,21.790000000000003,22.0425164648396
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,99294.0,2416314.05,1234759.0,OFSA3,28214243.15,,2024-07-29,,24.334945213205227,24.334945213205227,99294.0,,22.849999999999998,24.334945213205227
