CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,194400.0,530486.0,2511593.0,OPCT3,7459431.21,,2023-05-01,,2.7288374485596707,2.7288374485596707,194400.0,,2.97,2.7288374485596707
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,817200.0,OPCT3,3775464.0,,2024-04-28,,,0.0,0.0,,4.62,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,30000.0,171168.0,0.0,0.0,787200.0,OPCT3,4502784.0,,2024-05-28,5.7056,,0.0,-30000.0,171168.0,5.72,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,51600.0,164456.0,0.0,0.0,2459993.0,OPCT3,7773577.88,,2023-05-29,3.1871317829457366,,0.0,-51600.0,164456.0,3.16,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,297600.0,846264.0,2714393.0,OPCT3,8143179.0,,2023-06-29,,2.8436290322580646,2.8436290322580646,297600.0,,3.0,2.8436290322580646
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,27500.0,75010.0,2801400.0,OPCT3,8460228.0,,2023-07-29,,2.7276363636363636,2.7276363636363636,27500.0,,3.02,2.7276363636363636
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,600700.0,2412022.0,0.0,0.0,2200700.0,OPCT3,8868821.0,,2023-08-29,4.015352089229233,,0.0,-600700.0,2412022.0,4.03,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,527600.0,2280752.0,0.0,0.0,1673100.0,OPCT3,7763184.0,,2023-12-27,4.322880970432146,,0.0,-527600.0,2280752.0,4.64,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,731000.0,3779148.0,0.0,0.0,942100.0,OPCT3,5040235.0,,2024-01-27,5.169833105335157,,0.0,-731000.0,3779148.0,5.35,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,117800.0,664519.0,0.0,0.0,824300.0,OPCT3,4179201.0,,2024-02-27,5.641078098471986,,0.0,-117800.0,664519.0,5.07,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,7100.0,40700.0,0.0,0.0,817200.0,OPCT3,4584492.0,,2024-03-28,5.732394366197183,,0.0,-7100.0,40700.0,5.61,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,211400.0,1130150.0,211400.0,OPCT3,1209208.0,,2024-05-28,,5.346026490066225,5.346026490066225,211400.0,,5.72,5.346026490066225
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,211200.0,OPCT3,1341120.0,,2024-06-28,,,0.0,0.0,,6.35,
