CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação preferencial,120200.0,3218320.0,0.0,0.0,661800.0,PETR4,17253126.0,,2023-05-01,26.774708818635606,,0.0,-120200.0,3218320.0,26.07,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação preferencial,339600.0,12403480.0,0.0,0.0,278300.0,PETR4,9668142.0,,2024-04-28,36.52379269729093,,0.0,-339600.0,12403480.0,34.74,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,278300.0,PETR4,9993753.0,,2024-05-28,,,0.0,0.0,,35.91,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,278300.0,PETR4,10363892.0,,2024-06-28,,,0.0,0.0,,37.24,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação preferencial,0.0,0.0,0.0,0.0,661800.0,PETR4,16703832.0,,2023-05-29,,,0.0,0.0,,25.24,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,881800.0,PETR4,20678210.0,,2023-06-29,,,0.0,0.0,,23.45,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação preferencial,8000.0,219375.0,11800.0,275415.0,526480.0,PETR4,12477576.0,,2023-07-29,27.421875,23.340254237288136,23.340254237288136,3800.0,32652.966101694914,23.7,23.340254237288136
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação preferencial,0.0,0.0,3600.0,81657.0,649658.0,PETR4,16969066.96,,2023-08-29,,22.6825,22.6825,3600.0,,26.12,22.6825
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação preferencial,288500.0,8726160.0,0.0,0.0,526317.0,PETR4,15542141.01,,2023-12-27,30.246655112651645,,0.0,-288500.0,8726160.0,29.53,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação preferencial,0.0,0.0,36400.0,1028082.0,637100.0,PETR4,19820181.0,,2024-01-27,,28.244010989010988,28.244010989010988,36400.0,,31.11,28.244010989010988
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação preferencial,0.0,0.0,0.0,0.0,637100.0,PETR4,20348974.0,,2024-02-27,,,0.0,0.0,,31.94,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação preferencial,19200.0,663900.0,0.0,0.0,617800.0,PETR4,21400592.0,,2024-03-28,34.578125,,0.0,-19200.0,663900.0,34.64,
