CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,8600.0,86808.4,3400.0,34884.0,1808713.0,PNVL3,18575482.51,,2023-05-01,10.094,10.26,10.26,-5200.0,-1427.600000000003,10.270000000000001,10.26
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,30400.0,349826.0,221600.0,2393283.65,1973607.0,PNVL3,20861025.99,,2024-04-28,11.507434210526316,10.800016471119132,10.800016471119132,191200.0,21505.49927797839,10.569999999999999,10.800016471119132
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,0.0,0.0,16400.0,178875.11,1988945.0,PNVL3,24861812.5,,2024-05-28,,10.907018902439024,10.907018902439024,16400.0,,12.5,10.907018902439024
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,7800.0,104208.0,24700.0,300816.05,2007217.0,PNVL3,26816419.12,,2024-06-28,13.36,12.178787449392711,12.178787449392711,16900.0,9213.457894736848,13.360000000000001,12.178787449392711
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,100300.0,1043251.63,0.0,0.0,1699374.0,PNVL3,17639502.12,,2023-05-29,10.401312362911266,,0.0,-100300.0,1043251.63,10.38,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,8100.0,83076.84,0.0,0.0,1571034.0,PNVL3,15144767.76,,2023-06-29,10.2564,,0.0,-8100.0,83076.84,9.64,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,24500.0,241723.24,4100.0,39688.0,1575143.0,PNVL3,16349984.34,,2023-10-27,9.86625469387755,9.68,9.68,-20400.0,4563.239999999997,10.38,9.68
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,46800.0,519463.4,0.0,0.0,1522356.0,PNVL3,17720223.84,,2023-11-27,11.0996452991453,,0.0,-46800.0,519463.4,11.64,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,4200.0,52452.96,4000.0,49297.85,1530885.0,PNVL3,19595328.0,,2023-12-27,12.4888,12.3244625,12.3244625,-200.0,690.217500000001,12.8,12.3244625
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,20500.0,274348.0,16400.0,215153.79,1499364.0,PNVL3,19806598.44,,2024-01-27,13.382829268292683,13.119133536585366,13.119133536585366,-4100.0,5405.762500000003,13.21,13.119133536585366
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,85900.0,1098167.61,1687324.0,PNVL3,20652845.76,,2024-02-27,,12.784256228172294,12.784256228172294,85900.0,,12.24,12.784256228172294
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,77900.0,929080.58,1782717.0,PNVL3,20857788.9,,2024-03-28,,11.926579974326058,11.926579974326058,77900.0,,11.7,11.926579974326058
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,14200.0,175922.0,15900.0,195290.59,2008917.0,PNVL3,25051194.99,,2024-07-29,12.38887323943662,12.282427044025157,12.282427044025157,1700.0,1511.5359748427754,12.469999999999999,12.282427044025157
