CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,96800.0,244795.0,4724500.0,POMO3,12141965.0,,2023-05-01,,2.528873966942149,2.528873966942149,96800.0,,2.57,2.528873966942149
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5224900.0,POMO3,21422090.0,,2024-04-28,,,0.0,0.0,,4.1,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5224900.0,POMO3,24975022.0,,2024-05-28,,,0.0,0.0,,4.78,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5224900.0,POMO3,29259440.0,,2024-06-28,,,0.0,0.0,,5.6,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,139100.0,360645.0,4863600.0,POMO3,12304908.0,,2023-05-29,,2.5927030913012223,2.5927030913012223,139100.0,,2.53,2.5927030913012223
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4863600.0,POMO3,11964456.0,,2023-06-29,,,0.0,0.0,,2.46,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4863600.0,POMO3,13569444.0,,2023-07-29,,,0.0,0.0,,2.79,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4863600.0,POMO3,17654868.0,,2023-08-29,,,0.0,0.0,,3.63,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4863600.0,POMO3,20816208.0,,2023-12-27,,,0.0,0.0,,4.28,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,361300.0,1479938.0,5224900.0,POMO3,21526588.0,,2024-01-27,,4.096147246055909,4.096147246055909,361300.0,,4.12,4.096147246055909
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5224900.0,POMO3,25497512.0,,2024-02-27,,,0.0,0.0,,4.88,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5224900.0,POMO3,24034540.0,,2024-03-28,,,0.0,0.0,,4.6,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5224900.0,POMO3,32394380.0,,2024-07-29,,,0.0,0.0,,6.2,
