CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,137600.0,3526914.0,0.0,0.0,168500.0,PSSA3,4364150.0,,2023-05-01,25.631642441860464,,0.0,-137600.0,3526914.0,25.9,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2106300.0,PSSA3,54553170.0,,2023-05-01,,,0.0,0.0,,25.9,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,35800.0,898221.0,0.0,0.0,2053300.0,PSSA3,51763693.0,,2024-04-28,25.089972067039106,,0.0,-35800.0,898221.0,25.21,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,31400.0,801633.0,0.0,0.0,2021900.0,PSSA3,56613200.0,,2024-05-28,25.529713375796177,,0.0,-31400.0,801633.0,28.0,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,70000.0,1991089.0,2091900.0,PSSA3,60121206.0,,2024-06-28,,28.44412857142857,28.44412857142857,70000.0,,28.74,28.44412857142857
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2106300.0,PSSA3,55753761.0,,2023-05-29,,,0.0,0.0,,26.47,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2106300.0,PSSA3,49540176.0,,2023-06-29,,,0.0,0.0,,23.52,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2106300.0,PSSA3,52931319.0,,2023-07-29,,,0.0,0.0,,25.13,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2106300.0,PSSA3,50361633.0,,2023-08-29,,,0.0,0.0,,23.91,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2106300.0,PSSA3,59229156.0,,2023-12-27,,,0.0,0.0,,28.12,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,17200.0,500411.0,0.0,0.0,2089100.0,PSSA3,59810933.0,,2024-01-27,29.093662790697675,,0.0,-17200.0,500411.0,28.63,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2089100.0,PSSA3,54525510.0,,2024-02-27,,,0.0,0.0,,26.1,
18.302.338/0001-63,ARTICA LONG TERM FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2089100.0,PSSA3,54922439.0,,2024-03-28,,,0.0,0.0,,26.29,
