CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,3379721.0,81126008.86,9183900.0,RADL3,228036237.0,,2023-05-01,,24.003759144615785,24.003759144615785,3379721.0,,24.83,24.003759144615785
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,1152589.0,30339310.63,0.0,0.0,9918693.0,RADL3,255902279.4,,2024-04-28,26.322748724827324,,0.0,-1152589.0,30339310.63,25.8,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,1050326.0,27577725.55,0.0,0.0,7761086.0,RADL3,217931294.88,,2024-05-28,26.256348552735055,,0.0,-1050326.0,27577725.55,28.08,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,7712681.0,RADL3,226752821.4,,2024-06-28,,,0.0,0.0,,29.400000000000002,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,238942.0,5612054.81,9493908.0,RADL3,215321833.44,,2023-05-29,,23.487100677151776,23.487100677151776,238942.0,,22.68,23.487100677151776
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4748182.0,RADL3,116093049.9,,2023-06-29,,,0.0,0.0,,24.450000000000003,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,1068931.0,27686731.58,6303445.0,RADL3,165654534.6,,2023-07-29,,25.90132719511362,25.90132719511362,1068931.0,,26.279999999999998,25.90132719511362
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,318373.0,8383331.94,7738789.0,RADL3,219239892.37,,2023-11-27,,26.331793022649535,26.331793022649535,318373.0,,28.330000000000002,26.331793022649535
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,9099917.0,RADL3,269357543.2,,2023-12-27,,,0.0,0.0,,29.599999999999998,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,11785683.0,RADL3,341431236.51,,2024-01-27,,,0.0,0.0,,28.97,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,12107380.0,RADL3,332710802.4,,2024-02-27,,,0.0,0.0,,27.479999999999997,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,12105328.0,RADL3,334349159.36,,2024-03-28,,,0.0,0.0,,27.62,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,849383.0,21945912.64,0.0,0.0,8253414.0,RADL3,208811374.2,,2024-07-29,25.837475720611316,,0.0,-849383.0,21945912.64,25.299999999999997,
