CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,94320.0,1742272.3,14584.0,264925.47,6554824.0,RAIL3,120477665.12,,2023-05-01,18.471928541136556,18.165487520570487,18.165487520570487,-79736.0,28903.51705979165,18.38,18.165487520570487
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,5800.0,130094.0,272805.0,6043459.0,7264880.0,RAIL3,162079472.8,,2024-04-28,22.43,22.15303605139202,22.15303605139202,267005.0,1606.3909019262737,22.310000000000002,22.15303605139202
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,1595947.0,36799830.07,91383.0,2089925.4,5760316.0,RAIL3,131911236.4,,2024-05-28,23.05830335844486,22.869958307343815,22.869958307343815,-1504564.0,300588.7192695597,22.900000000000002,22.869958307343815
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,146852.0,3428523.76,314730.0,7035652.52,5928194.0,RAIL3,136052052.3,,2024-06-28,23.346796502601258,22.354565881866996,22.354565881866996,167878.0,145711.05111606777,22.950000000000003,22.354565881866996
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,92204.0,1641734.16,255646.0,4583622.01,6718266.0,RAIL3,120660057.36,,2023-05-29,17.805454860960477,17.92956670552248,17.92956670552248,163442.0,-11443.608515994809,17.96,17.92956670552248
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,150832.0,2820720.18,6100.0,111900.0,6573534.0,RAIL3,123911115.9,,2023-06-29,18.70107258406704,18.34426229508197,18.34426229508197,-144732.0,53818.40950819661,18.85,18.34426229508197
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,279261.0,5381497.16,85400.0,1597876.0,6379673.0,RAIL3,125679558.1,,2023-07-29,19.270493051303262,18.71049180327869,18.71049180327869,-193861.0,156386.5085245903,19.7,18.71049180327869
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,112352.0,2285437.47,51348.0,1065842.14,6318669.0,RAIL3,131554688.58,,2023-08-29,20.341760449302196,20.757227934875747,20.757227934875747,-61004.0,-46678.60293915957,20.82,20.757227934875747
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,81991.0,1868426.47,162900.0,3580269.0,6399578.0,RAIL3,142070631.6,,2023-12-27,22.788189801319657,21.978324125230202,21.978324125230202,80909.0,66401.6966482505,22.2,21.978324125230202
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,232143.0,5410978.11,210816.0,4697857.88,6378251.0,RAIL3,148230553.24,,2024-01-27,23.308814437652654,22.284161923193686,22.284161923193686,-21327.0,237865.9086640481,23.240000000000002,22.284161923193686
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,24119.0,578601.6,333904.0,7633811.6,6688036.0,RAIL3,149477604.6,,2024-02-27,23.989452299017373,22.86229455172744,22.86229455172744,309785.0,27185.917706885863,22.349999999999998,22.86229455172744
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,11622.0,277806.04,321461.0,7345485.11,6997875.0,RAIL3,159691507.5,,2024-03-28,23.90346239889864,22.85031499933118,22.85031499933118,309839.0,12239.679077773031,22.82,22.85031499933118
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,397013.0,9367209.24,245931.0,5471140.35,5777112.0,RAIL3,133220202.72,,2024-07-29,23.594212884716622,22.246647840247874,22.246647840247874,-151082.0,535000.8409996711,23.06,22.246647840247874
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,3707721.0,83748520.67,3707721.0,RAIL3,82719255.51,,2024-04-28,,22.58760048827838,22.58760048827838,3707721.0,,22.310000000000002,22.58760048827838
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,2481380.0,57300884.12,6189101.0,RAIL3,141730412.9,,2024-05-28,,23.092345436813385,23.092345436813385,2481380.0,,22.900000000000002,23.092345436813385
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,346090.0,7780254.9,6535191.0,RAIL3,149982633.45,,2024-06-28,,22.48043832529111,22.48043832529111,346090.0,,22.95,22.48043832529111
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,6535191.0,RAIL3,150701504.46,,2024-07-29,,,0.0,0.0,,23.060000000000002,
