CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,411229.0,10913490.5,16942132.0,RDOR3,540454010.8,,2023-05-01,,26.538718086516273,26.538718086516273,411229.0,,31.9,26.538718086516273
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,1043130.0,23814657.9,2885366.0,66536783.93,32093033.0,RDOR3,693851373.46,,2024-04-28,22.83,23.06008455426452,23.06008455426452,1842236.0,-240008.10108995085,21.62,23.06008455426452
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,2723737.0,67419858.49,480386.0,12460399.76,29849682.0,RDOR3,794001541.2,,2024-05-28,24.752705011533784,25.938307444430105,25.938307444430105,-2243351.0,-3229269.213769726,26.6,25.938307444430105
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,2744251.0,75187456.93,2719632.0,69587488.56,29883148.0,RDOR3,859439336.48,,2024-06-28,27.39817054999707,25.587097283750154,25.587097283750154,-24619.0,4970039.621971362,28.76,25.587097283750154
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,2758437.0,84179361.43,20839829.0,RDOR3,532457630.95,,2023-05-29,,30.51705057248,30.51705057248,2758437.0,,25.55,30.51705057248
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,5139998.0,117707582.78,25877524.0,RDOR3,549638609.76,,2023-06-29,,22.900316844481264,22.900316844481264,5139998.0,,21.24,22.900316844481264
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,977820.0,21873055.67,25272067.0,RDOR3,577972172.29,,2023-07-29,,22.369204628663763,22.369204628663763,977820.0,,22.869999999999997,22.369204628663763
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,521521.0,12248221.34,27404768.0,RDOR3,794738272.0,,2023-11-27,,23.48557649644022,23.48557649644022,521521.0,,29.0,23.48557649644022
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,639193.0,21531883.16,0.0,0.0,27183710.0,RDOR3,894887733.2,,2023-12-27,33.68604343289116,,0.0,-639193.0,21531883.16,32.92,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,401877.0,13940285.07,0.0,0.0,26916487.0,RDOR3,968993532.0,,2024-01-27,34.687939518807994,,0.0,-401877.0,13940285.07,36.0,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,312040.0,8943066.4,27228527.0,RDOR3,780369583.82,,2024-02-27,,28.66,28.66,312040.0,,28.660000000000004,28.66
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,3022270.0,80459844.89,30250797.0,RDOR3,768672751.77,,2024-03-28,,26.62232192689601,26.62232192689601,3022270.0,,25.41,26.62232192689601
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,346195.0,9914954.77,2408615.0,58189238.95,31936995.0,RDOR3,867089414.25,,2024-07-29,28.63979771516053,24.15879621691304,24.15879621691304,2062420.0,1551300.31368579,27.15,24.15879621691304
