CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,326200.0,7084141.0,435900.0,8665564.0,1709700.0,RECV3,35459178.0,,2024-04-28,21.717170447578173,19.879706354668503,19.879706354668503,109700.0,599380.7871071344,20.74,19.879706354668503
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,611700.0,11878075.0,2321400.0,RECV3,45963720.0,,2024-05-28,,19.41813797613209,19.41813797613209,611700.0,,19.8,19.41813797613209
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,387600.0,8061425.0,0.0,0.0,1933800.0,RECV3,42002136.0,,2024-06-28,20.798310113519094,,0.0,-387600.0,8061425.000000001,21.72,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,828600.0,17291809.0,828600.0,RECV3,16845438.0,,2023-06-29,,20.868705044653634,20.868705044653634,828600.0,,20.33,20.868705044653634
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,247900.0,4861165.0,1076500.0,RECV3,21185520.0,,2023-07-29,,19.609378781766843,19.609378781766843,247900.0,,19.68,19.609378781766843
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,0.0,0.0,400900.0,7032817.0,1477400.0,RECV3,25455602.0,,2023-08-29,,17.5425717136443,17.5425717136443,400900.0,,17.23,17.5425717136443
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,4500.0,87345.0,20500.0,341981.0,1493400.0,RECV3,28628478.0,,2023-12-27,19.41,16.682,16.682,16000.0,12276.000000000007,19.17,16.682
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,417300.0,9488166.0,0.0,0.0,1076100.0,RECV3,24739539.0,,2024-01-27,22.73703810208483,,0.0,-417300.0,9488166.0,22.99,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1076100.0,RECV3,24922476.0,,2024-02-27,,,0.0,0.0,,23.16,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,0.0,0.0,523900.0,10952211.0,1600000.0,RECV3,33504000.0,,2024-03-28,,20.90515556403894,20.90515556403894,523900.0,,20.94,20.90515556403894
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,152900.0,3495512.0,2086340.0,RECV3,48090137.0,,2024-07-29,,22.861425768476128,22.861425768476128,152900.0,,23.05,22.861425768476128
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,130000.0,4372094.93,88900.0,2980737.82,1132432.0,RECV3,35762202.56,,2023-05-01,33.63149946153846,33.52910933633296,33.52910933633296,-41100.0,13310.71627671534,31.580000000000002,33.52910933633296
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,28000.0,551776.0,274400.0,5563346.44,1700258.0,RECV3,35263350.92,,2024-04-28,19.706285714285713,20.2745861516035,20.2745861516035,246400.0,-15912.412244898063,20.740000000000002,20.2745861516035
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,10100.0,213163.87,667600.0,12874299.3,2357758.0,RECV3,46683608.4,,2024-05-28,21.105333663366338,19.284450718993412,19.284450718993412,657500.0,18390.91773816655,19.8,19.284450718993412
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,52100.0,1073025.12,147000.0,2936136.23,2189738.0,RECV3,47561109.36,,2024-06-28,20.595491746641077,19.973715850340135,19.973715850340135,94900.0,32394.524197279094,21.72,19.973715850340135
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,84300.0,2545061.44,0.0,0.0,924632.0,RECV3,26167085.6,,2023-05-29,30.190527164887307,,0.0,-84300.0,2545061.44,28.3,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,513900.0,14553100.04,67700.0,1401033.25,787200.0,RECV3,16003776.0,,2023-06-29,28.318933722514107,20.694730428360412,20.694730428360412,-446200.0,3918078.072865584,20.33,20.694730428360412
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,12100.0,240937.69,0.0,0.0,775100.0,RECV3,15253968.0,,2023-10-27,19.912205785123966,,0.0,-12100.0,240937.69,19.68,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,0.0,0.0,373900.0,6488476.66,876754.0,RECV3,15106471.42,,2023-11-27,,17.353508050280823,17.353508050280823,373900.0,,17.23,17.353508050280823
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,3900.0,75621.0,942667.0,RECV3,18070926.39,,2023-12-27,,19.39,19.39,3900.0,,19.17,19.39
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,57600.0,1272022.35,1199900.0,RECV3,27585701.0,,2024-01-27,,22.08372135416667,22.08372135416667,57600.0,,22.99,22.08372135416667
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,54500.0,1235353.66,1265000.0,RECV3,29297400.0,,2024-02-27,,22.66703963302752,22.66703963302752,54500.0,,23.16,22.66703963302752
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,197000.0,4154152.97,1453858.0,RECV3,30443786.52,,2024-03-28,,21.087070913705585,21.087070913705585,197000.0,,20.94,21.087070913705585
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,127900.0,2943038.69,9400.0,195384.57,1557034.0,RECV3,35889633.7,,2024-07-29,23.010466692728695,20.78559255319149,20.78559255319149,-118500.0,284561.4024468087,23.05,20.78559255319149
