CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,11321970.0,RENT3,670373843.7,,2023-05-01,,,0.0,0.0,,59.21,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,299800.0,18824442.0,338978.0,17895341.45,6032199.0,RENT3,306857963.13,,2024-04-28,62.79,52.79204387895379,52.79204387895379,39178.0,2997387.245089653,50.87,52.79204387895379
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,6032199.0,RENT3,362173227.96,,2024-05-28,,,0.0,0.0,,60.04,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,360734.0,23103437.09,22282.0,1417135.2,5693747.0,RENT3,362122309.2,,2024-06-28,64.04563221099204,63.6,63.6,-338452.0,160754.69000000178,63.6,63.6
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,1124542.0,68555828.75,251823.0,16056234.48,8436695.0,RENT3,523412557.8,,2023-11-27,60.96333329479913,63.760000000000005,63.760000000000005,-872719.0,-3144969.170000005,62.04,63.760000000000005
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,7930622.0,RENT3,543247607.0,,2023-12-27,,,0.0,0.0,,68.5,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,557370.0,37798583.54,0.0,0.0,7919920.0,RENT3,532377022.4,,2024-01-27,67.81596343541992,,0.0,-557370.0,37798583.54,67.22,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,1750789.0,111265885.31,0.0,0.0,6177718.0,RENT3,390740663.5,,2024-02-27,63.55185308452361,,0.0,-1750789.0,111265885.31,63.25,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,274607.0,15963997.27,89910.0,5224579.24,5993021.0,RENT3,350951309.76,,2024-03-28,58.133977902966784,58.10898943387833,58.10898943387833,-184697.0,6862.00853097354,58.559999999999995,58.10898943387833
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,20347.0,1249285.24,5714094.0,RENT3,309246767.28,,2024-07-29,,61.398989531626285,61.398989531626285,20347.0,,54.12,61.398989531626285
