CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,5800.0,165010.0,168400.0,4990729.22,460127.0,RRRP3,14926519.88,,2024-04-28,28.45,29.636159263657955,29.636159263657955,162600.0,-6879.723729216144,32.440000000000005,29.636159263657955
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,0.0,0.0,116900.0,3676073.19,517325.0,RRRP3,15509403.5,,2024-05-28,,31.44630615911035,31.44630615911035,116900.0,,29.98,31.44630615911035
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,0.0,0.0,355600.0,9615535.35,808471.0,RRRP3,21246617.88,,2024-06-28,,27.040313132733406,27.040313132733406,355600.0,,26.279999999999998,27.040313132733406
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,2100.0,66110.52,301500.0,9866139.2,299400.0,RRRP3,8823318.0,,2023-06-29,31.4812,32.72351310116086,32.72351310116086,299400.0,-2608.8575124378067,29.47,32.72351310116086
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,0.0,0.0,4000.0,109599.25,43400.0,RRRP3,1374478.0,,2023-10-27,,27.3998125,27.3998125,4000.0,,31.67,27.3998125
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,58400.0,1792043.22,200.0,6088.0,243658.0,RRRP3,7385273.98,,2023-11-27,30.685671575342464,30.44,30.44,-58200.0,14347.21999999985,30.310000000000002,30.44
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,59920.0,1465044.0,182479.0,RRRP3,5446998.15,,2023-12-27,,24.45,24.45,59920.0,,29.85,24.45
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,280094.0,RRRP3,9957341.7,,2024-01-27,,,0.0,0.0,,35.55,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,133900.0,4265209.9,307020.0,RRRP3,10107098.4,,2024-02-27,,31.853696041822257,31.853696041822257,133900.0,,32.92,31.853696041822257
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,82800.0,2593449.45,518914.0,RRRP3,16387304.12,,2024-03-28,,31.321853260869567,31.321853260869567,82800.0,,31.58,31.321853260869567
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,94600.0,2745209.42,31400.0,848441.99,297627.0,RRRP3,8149027.26,,2024-07-29,29.01912706131078,27.020445541401273,27.020445541401273,-63200.0,189075.27178343936,27.38,27.020445541401273
