CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação preferencial,205300.0,998444.28,4000.0,19080.0,5197940.0,SHUL4,25313967.8,,2023-05-01,4.86334281539211,4.77,4.77,-201300.0,19163.280000000203,4.87,4.77
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação preferencial,93000.0,735745.89,21100.0,158260.02,4971624.0,SHUL4,36491720.16,,2024-04-28,7.911246129032258,7.500474881516587,7.500474881516587,-71900.0,38201.726018957364,7.339999999999999,7.500474881516587
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação preferencial,51200.0,369555.69,118300.0,830729.01,4901044.0,SHUL4,34405328.88,,2024-05-28,7.2178845703125,7.022223245984785,7.022223245984785,67100.0,10017.859805579019,7.0200000000000005,7.022223245984785
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação preferencial,0.0,0.0,160200.0,1079867.52,4905844.0,SHUL4,34586200.2,,2024-06-28,,6.7407460674157305,6.7407460674157305,160200.0,,7.050000000000001,6.7407460674157305
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação preferencial,0.0,0.0,77200.0,338839.95,5275140.0,SHUL4,24001887.0,,2023-05-29,,4.389118523316062,4.389118523316062,77200.0,,4.55,4.389118523316062
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação preferencial,76600.0,365673.13,113700.0,484130.29,4867300.0,SHUL4,21562139.0,,2023-06-29,4.773800652741515,4.257962093227793,4.257962093227793,37100.0,39513.23365875111,4.43,4.257962093227793
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação preferencial,0.0,0.0,111400.0,487610.39,4793934.0,SHUL4,20997430.92,,2023-10-27,,4.377113016157989,4.377113016157989,111400.0,,4.380000000000001,4.377113016157989
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação preferencial,303700.0,1686861.57,3500.0,17710.0,4759328.0,SHUL4,27842068.8,,2023-11-27,5.5543680276588745,5.06,5.06,-300200.0,150139.5700000003,5.8500000000000005,5.06
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação preferencial,8400.0,51596.29,22200.0,133591.29,4439555.0,SHUL4,28324360.9,,2023-12-27,6.142415476190476,6.017625675675676,6.017625675675676,13800.0,1048.2343243243204,6.38,6.017625675675676
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação preferencial,8600.0,51600.0,400.0,2558.55,4364019.0,SHUL4,29326207.68,,2024-01-27,6.0,6.396375000000001,6.396375000000001,-8200.0,-3408.825000000007,6.72,6.396375000000001
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação preferencial,45200.0,343516.4,1000.0,7417.02,4940327.0,SHUL4,36756032.88,,2024-02-27,7.599920353982301,7.417020000000001,7.417020000000001,-44200.0,8267.09599999998,7.44,7.417020000000001
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação preferencial,0.0,0.0,0.0,0.0,5056524.0,SHUL4,38176756.2,,2024-03-28,,,0.0,0.0,,7.550000000000001,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação preferencial,3900.0,26403.0,104800.0,699784.88,4954071.0,SHUL4,32251002.21,,2024-07-29,6.77,6.677336641221374,6.677336641221374,100900.0,361.38709923663913,6.51,6.677336641221374
