CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,662748.0,10107565.81,624048.0,9584871.84,5282548.0,SMFT3,83834036.76,,2023-05-01,15.250994058073356,15.359190062302899,15.359190062302899,-38700.0,-71706.68541112081,15.870000000000001,15.359190062302899
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,479780.0,SMFT3,9293338.6,,2024-04-28,,,0.0,0.0,,19.37,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,500500.0,SMFT3,11586575.0,,2024-05-28,,,0.0,0.0,,23.15,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,397070.0,SMFT3,10335732.1,,2024-06-28,,,0.0,0.0,,26.029999999999998,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-02-28,Ações,Ação ordinária,0.0,0.0,0.0,0.0,5790265.0,SMFT3,89922815.45,,2023-05-29,,,0.0,0.0,,15.530000000000001,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-03-31,Ações,Ação ordinária,154784.0,2405440.11,0.0,0.0,5959763.0,SMFT3,79503238.42,,2023-06-29,15.54062506460616,,0.0,-154784.0,2405440.11,13.34,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-04-30,Ações,Ação ordinária,768329.0,11192614.16,768329.0,11172973.59,6016850.0,SMFT3,91756962.5,,2023-07-29,14.56747585995062,14.54191315178784,14.54191315178784,0.0,19640.57000000115,15.25,14.54191315178784
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-05-31,Ações,Ação ordinária,3227258.0,56133611.63,0.0,0.0,2930014.0,SMFT3,55816766.7,,2023-11-27,17.39359283639548,,0.0,-3227258.0,56133611.63000001,19.05,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-06-30,Ações,Ação ordinária,1490935.0,29748048.8,0.0,0.0,1694079.0,SMFT3,36422698.5,,2023-12-27,19.952612823496665,,0.0,-1490935.0,29748048.8,21.5,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-07-31,Ações,Ação ordinária,750300.0,16140094.3,0.0,0.0,912310.0,SMFT3,20855406.6,,2024-01-27,21.51152112488338,,0.0,-750300.0,16140094.3,22.860000000000003,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,922147.0,SMFT3,18996228.2,,2024-02-27,,,0.0,0.0,,20.599999999999998,
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-09-30,Ações,Ação ordinária,500300.0,9255550.0,0.0,0.0,347543.0,SMFT3,7472174.5,,2024-03-28,18.5,,0.0,-500300.0,9255550.0,21.5,
