CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,12400.0,624449.91,135300.0,6232167.28,1019500.0,SUZB3,47264020.0,,2023-05-01,50.35886370967742,46.06184242424243,46.06184242424243,122900.0,53283.06393939392,46.36,46.06184242424243
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,100700.0,5569273.95,56300.0,2988270.84,677358.0,SUZB3,34931352.06,,2024-04-28,55.3056002979146,53.07763481349911,53.07763481349911,-44400.0,224356.12428064004,51.57,53.07763481349911
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,21900.0,1146180.07,88300.0,4614189.42,743758.0,SUZB3,39999305.24,,2024-05-28,52.3369894977169,52.255825821064555,52.255825821064555,66400.0,1777.4845186863538,53.78,52.255825821064555
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,21900.0,1131971.72,50700.0,2614871.25,731406.0,SUZB3,40688115.78,,2024-06-28,51.68820639269406,51.57536982248521,51.57536982248521,28800.0,2471.120887573943,55.63,51.57536982248521
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,34900.0,1629872.06,0.0,0.0,984600.0,SUZB3,47004804.0,,2023-05-29,46.70120515759312,,0.0,-34900.0,1629872.06,47.74,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,22000.0,1018150.58,71100.0,3267740.1,1033700.0,SUZB3,43001920.0,,2023-06-29,46.279571818181815,45.95977637130802,45.95977637130802,49100.0,7035.499831223547,41.6,45.95977637130802
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,88600.0,3507383.27,30600.0,1246580.37,975700.0,SUZB3,38832860.0,,2023-10-27,39.58671862302483,40.7379205882353,40.7379205882353,-58000.0,-101996.4941176475,39.8,40.7379205882353
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,148000.0,6487744.31,600.0,26226.0,800633.0,SUZB3,35852345.74,,2023-11-27,43.8361102027027,43.71,43.71,-147400.0,18664.30999999929,44.78,43.71
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,10800.0,504520.43,4000.0,176215.85,593575.0,SUZB3,26247886.5,,2023-12-27,46.71485462962963,44.053962500000004,44.053962500000004,-6800.0,28737.63499999993,44.22,44.053962500000004
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,14000.0,614437.05,735500.0,SUZB3,35355485.0,,2024-01-27,,43.88836071428572,43.88836071428572,14000.0,,48.07,43.88836071428572
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,40900.0,2038976.69,14700.0,720556.06,809300.0,SUZB3,40586395.0,,2024-02-27,49.85273080684596,49.01741904761905,49.01741904761905,-26200.0,34164.25095238068,50.15,49.01741904761905
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,83500.0,4587719.33,0.0,0.0,721758.0,SUZB3,39177024.24,,2024-03-28,54.94274646706587,,0.0,-83500.0,4587719.33,54.28,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,10400.0,541840.0,96600.0,5050922.93,775151.0,SUZB3,40013294.62,,2024-07-29,52.1,52.28698685300207,52.28698685300207,86200.0,-1944.6632712215091,51.62,52.28698685300207
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-01-31,Ações,Ação ordinária,2306900.0,115602700.0,4356206.0,215181492.27,5996209.0,SUZB3,277984249.24,,2023-05-01,50.111708353201266,49.39653732399248,49.39653732399248,2049306.0,1649828.047281741,46.36,49.39653732399248
37.916.879/0001-26,DYNAMO COUGAR MASTER FUNDO DE INVESTIMENTO EM AÇÕES,2023-10-31,Ações,Ação ordinária,9426540.0,501998163.43,0.0,0.0,1448229.0,SUZB3,74685169.53,,2024-04-28,53.25370320711523,,0.0,-9426540.0,501998163.43,51.57,
