CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,4745845.0,SYNE3,19980007.45,,2023-05-01,,,0.0,0.0,,4.21,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,100800.0,401184.0,1284000.0,4900662.32,7770595.0,SYNE3,29139731.25,,2024-04-28,3.98,3.816715202492212,3.816715202492212,1183200.0,16459.10758878501,3.75,3.816715202492212
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,45600.0,175350.69,316300.0,1216101.69,8138449.0,SYNE3,33774563.35,,2024-05-28,3.8454098684210525,3.8447729687006005,3.8447729687006005,270700.0,29.042627252611197,4.15,3.8447729687006005
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,34300.0,151211.0,42300.0,181150.25,8167549.0,SYNE3,39122559.71,,2024-06-28,4.408483965014577,4.282511820330969,4.282511820330969,8000.0,4320.8445626477605,4.79,4.282511820330969
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,127900.0,530980.28,0.0,0.0,4682742.0,SYNE3,18684140.58,,2023-05-29,4.1515268178264275,,0.0,-127900.0,530980.28,3.9899999999999998,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,0.0,0.0,39800.0,124574.0,4845856.0,SYNE3,15458280.64,,2023-06-29,,3.13,3.13,39800.0,,3.19,3.13
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,0.0,0.0,39700.0,128983.92,4336229.0,SYNE3,14743178.6,,2023-10-27,,3.2489652392947104,3.2489652392947104,39700.0,,3.4,3.2489652392947104
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,3000.0,10800.0,43300.0,162806.41,4640073.0,SYNE3,17864281.05,,2023-11-27,3.6,3.7599632794457274,3.7599632794457274,40300.0,-479.8898383371819,3.85,3.7599632794457274
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,233700.0,919300.5,4984615.0,SYNE3,19838767.7,,2023-12-27,,3.9336777920410784,3.9336777920410784,233700.0,,3.98,3.9336777920410784
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,201700.0,818964.1,5283280.0,SYNE3,21767113.6,,2024-01-27,,4.060307882994546,4.060307882994546,201700.0,,4.12,4.060307882994546
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,640700.0,2617356.93,5914829.0,SYNE3,24191650.61,,2024-02-27,,4.0851520680505695,4.0851520680505695,640700.0,,4.09,4.0851520680505695
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,727000.0,2952135.21,6705649.0,SYNE3,27560217.39,,2024-03-28,,4.060708679504814,4.060708679504814,727000.0,,4.11,4.060708679504814
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,207000.0,907569.31,114800.0,495518.26,7977279.0,SYNE3,36695483.4,,2024-07-29,4.384392801932368,4.316361149825784,4.316361149825784,-92200.0,14082.551986062754,4.6,4.316361149825784
