CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,15045.0,323594.59,135725.0,2812414.43,120680.0,TGMA3,2704438.8,,2024-01-27,21.50844732469259,20.721417793332108,20.721417793332108,120680.0,11840.859299318443,22.41,20.721417793332108
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,15700.0,294498.16,0.0,0.0,1003509.0,TGMA3,18916144.65,,2023-05-01,18.75784458598726,,0.0,-15700.0,294498.16,18.849999999999998,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,32500.0,782812.54,200.0,4668.0,949490.0,TGMA3,23234020.3,,2024-04-28,24.086539692307692,23.34,23.34,-32300.0,24262.54,24.470000000000002,23.34
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,46500.0,1162712.72,0.0,0.0,896376.0,TGMA3,23969094.24,,2024-05-28,25.004574623655913,,0.0,-46500.0,1162712.72,26.74,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,85100.0,2367044.99,0.0,0.0,804306.0,TGMA3,22753816.74,,2024-06-28,27.814864747356054,,0.0,-85100.0,2367044.99,28.29,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,4100.0,72160.0,12200.0,220811.21,1008200.0,TGMA3,17623336.0,,2023-05-29,17.6,18.09927950819672,18.09927950819672,8100.0,-2047.045983606544,17.48,18.09927950819672
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,8600.0,153768.86,7900.0,131660.6,1009100.0,TGMA3,18426166.0,,2023-06-29,17.8801,16.665898734177215,16.665898734177215,-700.0,10442.130886075938,18.26,16.665898734177215
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,13700.0,249374.77,0.0,0.0,999000.0,TGMA3,18821160.0,,2023-10-27,18.202537956204377,,0.0,-13700.0,249374.76999999996,18.84,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,10900.0,222289.98,0.0,0.0,987700.0,TGMA3,22124480.0,,2023-11-27,20.39357614678899,,0.0,-10900.0,222289.98,22.4,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,2000.0,44378.06,990000.0,TGMA3,21681000.0,,2023-12-27,,22.18903,22.18903,2000.0,,21.9,22.18903
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,20800.0,430008.18,1010900.0,TGMA3,22654269.0,,2024-01-27,,20.673470192307693,20.673470192307693,20800.0,,22.41,20.673470192307693
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,0.0,0.0,5000.0,118984.22,1015900.0,TGMA3,25905450.0,,2024-02-27,,23.796844,23.796844,5000.0,,25.5,23.796844
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,0.0,0.0,0.0,0.0,1010243.0,TGMA3,26114781.55,,2024-03-28,,,0.0,0.0,,25.85,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2024-01-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,840379.0,TGMA3,21917084.32,,2024-07-29,,,0.0,0.0,,26.080000000000002,
