CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,0.0,0.0,56100.0,1507483.0,776599.0,TUPY3,20975938.99,,2023-05-01,,26.871354723707665,26.871354723707665,56100.0,,27.009999999999998,26.871354723707665
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,6900.0,186229.0,210100.0,5236224.0,2221903.0,TUPY3,54192214.17,,2024-04-28,26.989710144927535,24.922532127558306,24.922532127558306,203200.0,14263.528319847686,24.39,24.922532127558306
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,0.0,0.0,59900.0,1438197.0,2282275.0,TUPY3,58654467.5,,2024-05-28,,24.009966611018363,24.009966611018363,59900.0,,25.7,24.009966611018363
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,0.0,0.0,0.0,0.0,2282275.0,TUPY3,66368557.0,,2024-06-28,,,0.0,0.0,,29.08,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,20200.0,585023.0,76400.0,2048328.0,685694.0,TUPY3,18616592.1,,2023-05-29,28.961534653465346,26.810575916230366,26.810575916230366,56200.0,43449.3664921466,27.150000000000002,26.810575916230366
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,0.0,0.0,181900.0,4448571.0,862210.0,TUPY3,20882726.2,,2023-06-29,,24.456135239142387,24.456135239142387,181900.0,,24.22,24.456135239142387
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,0.0,0.0,289200.0,6604338.0,1202424.0,TUPY3,26814055.2,,2023-07-29,,22.83657676348548,22.83657676348548,289200.0,,22.3,22.83657676348548
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,44400.0,1158263.0,77600.0,1676321.0,1442779.0,TUPY3,36733153.34,,2023-08-29,26.087004504504506,21.60207474226804,21.60207474226804,33200.0,199130.88144329906,25.46,21.60207474226804
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,0.0,0.0,81800.0,2075014.0,1535583.0,TUPY3,40262986.26,,2023-12-27,,25.366919315403422,25.366919315403422,81800.0,,26.22,25.366919315403422
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,0.0,0.0,499800.0,13031644.0,2035383.0,TUPY3,55301356.11,,2024-01-27,,26.0737174869948,26.0737174869948,499800.0,,27.169999999999998,26.0737174869948
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-08-31,Ações,Ação ordinária,0.0,0.0,94200.0,2544130.0,2139676.0,TUPY3,55524592.2,,2024-02-27,,27.00774946921444,27.00774946921444,94200.0,,25.950000000000003,27.00774946921444
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2023-09-30,Ações,Ação ordinária,131900.0,3583339.0,0.0,0.0,2008316.0,TUPY3,54606112.04,,2024-03-28,27.167088703563305,,0.0,-131900.0,3583339.0,27.19,
14.438.229/0001-17,CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES,2024-01-31,Ações,Ação ordinária,0.0,0.0,387000.0,10139194.0,2669275.0,TUPY3,70682402.0,,2024-07-29,,26.1994677002584,26.1994677002584,387000.0,,26.48,26.1994677002584
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,95200.0,2598962.76,0.0,0.0,1295053.0,TUPY3,34979381.53,,2023-05-01,27.300028991596637,,0.0,-95200.0,2598962.76,27.01,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,39600.0,1035144.0,105900.0,2683469.47,2761408.0,TUPY3,67350741.12,,2024-04-28,26.14,25.33965505193579,25.33965505193579,66300.0,31693.65994334276,24.39,25.33965505193579
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,42800.0,1115138.19,85100.0,2121416.9,2803708.0,TUPY3,72055295.6,,2024-05-28,26.054630607476636,24.928518213866038,24.928518213866038,42300.0,48197.610446533574,25.7,24.928518213866038
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,76800.0,2085961.26,45600.0,1191970.16,2772508.0,TUPY3,80624532.64,,2024-06-28,27.16095390625,26.13969649122807,26.13969649122807,-31200.0,78432.56947368436,29.080000000000002,26.13969649122807
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,255000.0,7187964.88,200.0,5664.0,929521.0,TUPY3,25236495.15,,2023-05-29,28.18809756862745,28.32,28.32,-254800.0,-33635.11999999988,27.15,28.32
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,228200.0,5726396.97,36300.0,862514.7,1458918.0,TUPY3,35334993.96,,2023-06-29,25.093764110429447,23.760735537190083,23.760735537190083,-191900.0,304197.1204132229,24.22,23.760735537190083
