CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-01-31,Ações,Ação ordinária,164166.0,2134875.44,131265.0,1673496.73,9715847.0,UGPA3,128152021.93,,2023-05-01,13.004370210640449,12.748994248276388,12.748994248276388,-32901.0,41924.050237458476,13.190000000000001,12.748994248276388
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-10-31,Ações,Ação ordinária,989687.0,20193560.23,154273.0,2949205.72,15774635.0,UGPA3,322591285.75,,2024-04-28,20.40398654322023,19.116797624989466,19.116797624989466,-835414.0,1273914.1389170508,20.45,19.116797624989466
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-11-30,Ações,Ação ordinária,1924270.0,45461501.62,0.0,0.0,13850365.0,UGPA3,349721716.25,,2024-05-28,23.62532369158174,,0.0,-1924270.0,45461501.62,25.25,
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-12-31,Ações,Ação ordinária,1121211.0,28908534.88,34455.0,871570.1,12763609.0,UGPA3,338363274.59,,2024-06-28,25.783313649259593,25.295896096357566,25.295896096357566,-1086756.0,546497.9219068346,26.509999999999998,25.295896096357566
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-02-28,Ações,Ação ordinária,152242.0,2008997.4,826515.0,10921159.93,9178672.0,UGPA3,120974896.96,,2023-05-29,13.19607861168403,13.21350481237485,13.21350481237485,674273.0,-2652.9996455719393,13.18,13.21350481237485
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-03-31,Ações,Ação ordinária,114000.0,1494090.74,28683.0,383225.87,12371069.0,UGPA3,172700123.24,,2023-06-29,13.106059122807018,13.360731792350869,13.360731792350869,-85317.0,-29032.68432799899,13.96,13.360731792350869
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-04-30,Ações,Ação ordinária,91600.0,1324906.0,354500.0,5141119.0,12842363.0,UGPA3,185443721.72,,2023-07-29,14.464039301310043,14.502451339915373,14.502451339915373,262900.0,-3518.5427362482014,14.44,14.502451339915373
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-05-31,Ações,Ação ordinária,181994.0,2980214.36,120001.0,2031550.92,13698097.0,UGPA3,231908782.21,,2023-08-29,16.375344022330406,16.929449921250654,16.929449921250654,-61993.0,-100843.94896809167,16.93,16.929449921250654
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-06-30,Ações,Ação ordinária,368652.0,6897749.2,337045.0,6034567.98,14198272.0,UGPA3,268205358.08,,2023-12-27,18.710733157557804,17.904339123855866,17.904339123855866,-31607.0,297278.77331228694,18.89,17.904339123855866
14.213.077/0001-54,GUEPARDO INSTITUCIONAL MASTER FUNDO DE INVESTIMENTO DE AÇÕES,2023-07-31,Ações,Ação ordinária,124300.0,2386526.81,474606.0,9005118.48,14766469.0,UGPA3,278938599.41,,2024-01-27,19.1997329847144,18.97388250464596,18.97388250464596,350306.0,28073.214672507256,18.89,18.97388250464596
