CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,TP_APLIC,TP_ATIVO,QT_VENDA_NEGOC,VL_VENDA_NEGOC,QT_AQUIS_NEGOC,VL_AQUIS_NEGOC,QT_POS_FINAL,CD_ATIVO,VL_MERC_POS_FINAL,VL_CUSTO_POS_FINAL,DT_CONFID_APLIC,VL_venda,VL_compra,VL_compra_corrigido,saldo_acoes,lucro,valor_pos_acao,VL_compra_media
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-01-31,Ações,Ação ordinária,81300.0,7801672.33,0.0,0.0,696900.0,VALE3,65864019.0,,2023-05-01,95.96152927429274,,0.0,-81300.0,7801672.33,94.51,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-10-31,Ações,Ação ordinária,53400.0,3615754.94,17600.0,1133895.02,1188106.0,VALE3,81979314.0,,2024-04-28,67.71076666666667,64.4258534090909,64.4258534090909,-35800.0,175414.36795454592,69.0,64.4258534090909
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-11-30,Ações,Ação ordinária,20900.0,1501454.4,43800.0,3063581.52,1182344.0,VALE3,87316104.4,,2024-05-28,71.83992344497607,69.94478356164383,69.94478356164383,22900.0,39608.4235616437,73.85000000000001,69.94478356164383
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-12-31,Ações,Ação ordinária,0.0,0.0,70200.0,5142565.76,1217668.0,VALE3,94003969.6,,2024-06-28,,73.2559225071225,73.2559225071225,70200.0,,77.19999999999999,73.2559225071225
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-02-28,Ações,Ação ordinária,26800.0,2371777.65,0.0,0.0,361723.0,VALE3,30862206.36,,2023-05-29,88.49916604477612,,0.0,-26800.0,2371777.65,85.32,
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-03-31,Ações,Ação ordinária,31600.0,2717562.48,4200.0,343345.06,692370.0,VALE3,55590387.3,,2023-06-29,85.99881265822785,81.74882380952381,81.74882380952381,-27400.0,134299.64761904752,80.28999999999999,81.74882380952381
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-04-30,Ações,Ação ordinária,5700.0,468814.01,124600.0,9581698.43,661600.0,VALE3,47899840.0,,2023-10-27,82.24807192982456,76.89966637239165,76.89966637239165,118900.0,30485.9116773676,72.4,76.89966637239165
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-05-31,Ações,Ação ordinária,2700.0,185631.0,128800.0,8651849.07,937700.0,VALE3,59834637.0,,2023-11-27,68.75222222222222,67.17274122670808,67.17274122670808,126100.0,4264.598687888156,63.81,67.17274122670808
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-06-30,Ações,Ação ordinária,0.0,0.0,142300.0,9401177.64,1080000.0,VALE3,69357600.0,,2023-12-27,,66.06590049191848,66.06590049191848,142300.0,,64.22,66.06590049191848
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-07-31,Ações,Ação ordinária,0.0,0.0,99300.0,6588587.71,1179300.0,VALE3,81560388.0,,2024-01-27,,66.35032940584088,66.35032940584088,99300.0,,69.16,66.35032940584088
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-08-31,Ações,Ação ordinária,15100.0,941161.53,74700.0,4943726.5,1233496.0,VALE3,80275919.68,,2024-02-27,62.32857814569537,66.18107764390896,66.18107764390896,59600.0,-58172.74242302531,65.08000000000001,66.18107764390896
36.352.539/0001-57,REAL INVESTOR MASTER FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,2023-09-30,Ações,Ação ordinária,10800.0,727670.17,12000.0,813656.12,1233194.0,VALE3,83339250.52,,2024-03-28,67.3768675925926,67.80467666666667,67.80467666666667,1200.0,-4620.337999999873,67.58,67.80467666666667
